,Country Name,2016,2017,2018,2019,2020
145,Latvia,5915046716.0,6679941488.0,7955585084.0,7896670201.0,7596875389.0
146,"Macao SAR, China",9846656077.0,9866683279.0,9519108083.0,7788612849.0,6522011240.0
148,Morocco,35656385419.0,37527651671.0,40926902547.0,39442971374.0,34922079016.0
150,Moldova,1774278774.0,2202530254.0,2934797677.0,3034683035.0,2867005651.0
151,Madagascar,1939143341.0,2082697788.0,2848736245.0,3199508887.0,2312105215.0
152,Maldives,1895106218.0,2147793696.0,2744862125.0,2621023014.0,1703927022.0
153,Middle East & North Africa,892013000000.0,920126000000.0,924626000000.0,948624000000.0,809203000000.0
154,Mexico,254754000000.0,265449000000.0,277626000000.0,268525000000.0,209266000000.0
155,Marshall Islands,40519611.84,47453091.5,48996374.85,119458770.8,49783315.78
156,Middle income,8470730000000.0,9409110000000.0,10308100000000.0,10395900000000.0,10118300000000.0
157,North Macedonia,3469587326.0,3649120560.0,4100285758.0,4318946188.0,3698872945.0
158,Mali,3361012788.0,3317336506.0,3492409484.0,3893531358.0,2875811094.0
159,Malta,2713415984.0,2878219611.0,3211856401.0,3340199261.0,3275385494.0
160,Myanmar,20064759003.0,21163361936.0,21611889418.0,21050353055.0,23687218691.0
162,Montenegro,1142605712.0,1467810664.0,1757476382.0,1772226576.0,1487546439.0
163,Mongolia,2530273633.0,3146470329.0,5189260484.0,5056305300.0,2979924237.0
165,Mozambique,5562918920.0,4386924417.0,7429800708.0,9242997707.0,7193255981.0
166,Mauritania,2001376390.0,2577171289.0,3471442786.0,3786530596.0,3937255978.0
167,Mauritius,2175376105.0,2422900462.0,2659307370.0,2805840980.0,2077978189.0
169,Malaysia,78312802835.0,81524741884.0,85742112959.0,76862764031.0,66452242179.0
170,North America,4193650000000.0,4443290000000.0,4754670000000.0,4959710000000.0,4800500000000.0
171,Namibia,2362049380.0,2291016827.0,2040864018.0,1922566387.0,1448837805.0
173,Niger,2861878119.0,2909833324.0,3712391434.0,3953525937.0,3915814910.0
174,Nigeria,62181351622.0,58144125749.0,83562457327.0,113894000000.0,118842000000.0
175,Nicaragua,4145277943.0,4124102772.0,3135783375.0,2188202900.0,2424371253.0
176,Netherlands,160635000000.0,171716000000.0,191561000000.0,201120000000.0,197939000000.0
177,Norway,103659000000.0,110890000000.0,122612000000.0,120897000000.0,109782000000.0
178,Nepal,6925850372.0,10813661320.0,13094880139.0,14145815399.0,10177303423.0
180,New Zealand,43640034110.0,48969441467.0,50840045897.0,50557522853.0,47317924635.0
181,OECD members,10554800000000.0,11224800000000.0,12026100000000.0,12225800000000.0,11750800000000.0
182,Oman,27111313394.0,27364629389.0,28984473342.0,23657680364.0,20966715735.0
183,Other small states,126377000000.0,127589000000.0,140019000000.0,139061000000.0,123087000000.0
184,Pakistan,49979260688.0,55402081823.0,60785003467.0,49739826688.0,44509682862.0
185,Panama,23452300000.0,25957847200.0,26933383300.0,25656662400.0,12986408300.0
186,Peru,42258007170.0,43703419721.0,47438081908.0,47568093968.0,37445992732.0
187,Philippines,78441139161.0,83955682019.0,94169647334.0,99488160257.0,63065443241.0
190,Poland,95049710865.0,105040000000.0,126294000000.0,122170000000.0,112452000000.0
191,Pre-demographic dividend,264897000000.0,289427000000.0,294848000000.0,344666000000.0,322038000000.0
192,Puerto Rico,8425500000.0,8062700000.0,15478200000.0,16135500000.0,11712000000.0
194,Portugal,32682471120.0,38132712330.0,44320211856.0,44379729884.0,43783208360.0
195,Paraguay,7147988806.0,8033425402.0,9164195750.0,8224227800.0,7101125919.0
196,West Bank and Gaza,3890300000.0,4446900000.0,4610600000.0,4592000000.0,3774800000.0
197,Pacific island small states,2126178140.0,2351179096.0,2350158727.0,2201228307.0,1808181924.0
198,Post-demographic dividend,9836060000000.0,10469500000000.0,11266600000000.0,11393100000000.0,10986200000000.0
200,Qatar,74150106511.0,68646529423.0,74542342692.0,74872157802.0,63323233345.0
201,Romania,43988643082.0,50298778532.0,56814390095.0,60969442413.0,61669439208.0
202,Russian Federation,294879000000.0,371617000000.0,363255000000.0,383685000000.0,348426000000.0
203,Rwanda,2271190338.0,2205415810.0,2064073421.0,2432492115.0,2560639599.0
204,South Asia,871449000000.0,1027450000000.0,1098710000000.0,1074990000000.0,954535000000.0
205,Saudi Arabia,199495000000.0,198669000000.0,215382000000.0,234154000000.0,194315000000.0
206,Sudan,36579822110.0,51302200751.0,11869751450.0,11578403005.0,8616441199.0
207,Senegal,4828941880.0,6260246373.0,7547324540.0,7476236892.0,8607931888.0
