,Country Name,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
74,Guinea-Bissau,-0.881491482,-0.850086212,-1.188359499,-1.124477863,-0.980062366,-1.135290623,-1.197473884,-1.195079803,-1.123641849,-1.124466658,-1.228919864,-1.289142847,-1.212226987,-1.212238193,-1.235182405,-1.206177831,-1.22309804,-1.251477242,-1.266315937,-1.25828886
75,Equatorial Guinea,-1.486513615,-1.43353641,-1.558325887,-1.468349099,-1.50492835,-1.452512741,-1.445690989,-1.471023321,-1.548465967,-1.487338662,-1.600315809,-1.543533206,-1.465663552,-1.462549329,-1.545290232,-1.553122759,-1.635661602,-1.671925664,-1.695083618,-1.712811947
76,Greece,0.946032047,0.987252712,0.836224496,0.958650231,0.85774231,0.894383371,0.881061792,0.834921479,0.642821491,0.492343783,0.521992683,0.628217578,0.326164484,0.405676454,0.144393101,0.23626326,0.412088543,0.527953088,0.550261974,0.44170779
77,Grenada,0.456945926,0.439084023,0.287876695,0.362456709,0.531951129,0.416656256,0.217183694,0.239426047,0.272228628,0.22665973,0.251317769,0.248430222,0.178317696,0.106639944,0.071182676,-0.033718202,-0.273799539,-0.289395779,-0.114809208,0.291877717
78,Greenland,,,,,,,,1.347970366,1.362122059,1.325378656,1.368418336,1.389455199,1.372971773,1.348600388,1.331365943,1.319516063,1.36713016,1.359236002,1.387541771,1.371155262
79,Guatemala,-0.165764809,-0.349703223,-0.226334214,-0.500911415,-0.315376073,-0.305537134,-0.252038717,-0.216534749,-0.172244892,-0.211610183,-0.263000935,-0.287112713,-0.284290075,-0.307585031,-0.289470136,-0.354202002,-0.278795719,-0.319761753,-0.255781114,-0.315212965
80,French Guiana,0.939704359,0.926884115,0.521728635,0.864074349,0.855286777,0.877206326,0.894702375,1.193924904,1.233637691,1.208637595,1.265025139,1.282283783,1.453038692,1.444826245,1.425536275,1.277378321,1.303705096,1.312440872,1.18799293,1.177233219
81,Guam,,,0.714708745,0.616531134,0.608042121,0.626675904,0.642759264,0.653302133,0.642825544,0.631379724,0.599272251,0.601454556,0.177999645,0.168665841,0.132687509,0.109363891,0.081992798,0.080232926,0.542312026,0.548629165
82,Guyana,-0.346247435,-0.340948224,-0.387165576,-0.495723665,-0.613583863,-0.620565355,-0.586162806,-0.623867869,-0.605241239,-0.678618312,-0.626173019,-0.608322561,-0.528059959,-0.513476372,-0.422596544,-0.385692209,-0.53814584,-0.603396595,-0.526190817,-0.519256711
83,"Hong Kong SAR, China",1.677312016,1.894880176,1.948582768,1.788501024,1.935689688,1.985213518,1.954249501,1.816798806,1.874030828,1.775727272,1.940345645,1.919577956,2.050772667,2.184735537,2.151032448,2.161466122,2.225086927,1.98207128,1.793463826,1.583754063
84,Honduras,-0.536085248,-0.5933339,-0.42958352,-0.625240624,-0.457659006,-0.282702386,-0.316503912,-0.310121268,-0.246572301,-0.152864039,-0.205009326,-0.197600991,-0.408311367,-0.399070054,-0.520941079,-0.43500188,-0.441733122,-0.482604355,-0.481727391,-0.521958768
85,Croatia,0.294281095,0.466213048,0.531916022,0.475249559,0.365195125,0.411397368,0.413963556,0.472275615,0.489483297,0.442892551,0.353815705,0.369632989,0.276575357,0.252695084,0.248335615,0.311782539,0.499120563,0.56277436,0.373428524,0.502004385
86,Haiti,-1.093482494,-1.133565903,-1.479856372,-1.222022891,-0.862635136,-0.837894082,-0.778468251,-0.938361287,-1.028236032,-1.055708051,-0.946483672,-0.940709591,-1.082755566,-1.1846807,-1.24894321,-1.335303068,-1.284545064,-1.291273475,-1.238207102,-1.318740487
87,Hungary,1.259091735,1.118963718,1.168114185,1.047473431,1.20098865,1.206072092,1.17410326,1.081859827,1.014453888,1.027545452,0.982062161,0.899946392,0.747946262,0.762045562,0.599686682,0.647817969,0.573088288,0.601590693,0.481639713,0.496175766
