,Country Name,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
31,Brunei Darussalam,1.155532122,1.144425869,1.369434714,1.212659836,1.12335515,1.107106924,1.125619054,1.387126684,1.277547002,1.085193753,0.909327209,1.074022293,1.261507034,1.242662311,1.154172063,1.160305381,1.241359711,1.108798981,1.182350636,1.168643951
32,Bhutan,0.693675578,0.918948591,1.172050357,1.284487367,1.264518976,0.568526506,0.720669389,0.803496659,0.742221653,0.826495349,0.77630949,0.784624875,1.068038583,0.974714994,1.123296738,1.117129922,1.093906164,1.082095861,1.023679614,0.973133087
33,South Sudan,,,,,,,,,,-1.430328488,-1.156583309,-1.730328679,-2.646576643,-2.37568903,-2.418965578,-2.45247221,-2.442854166,-2.511948347,-2.213626623,-2.302444935
34,Botswana,0.873264432,1.104937553,0.91668874,1.063572526,1.017109871,1.056139112,1.033105612,0.953861237,0.991209805,1.064446568,1.104041457,1.102347016,1.011847138,1.042091846,0.994560003,1.022508383,0.970987856,1.111055136,1.02614224,0.978377819
35,Central African Republic,-1.733406186,-1.538873434,-1.424244881,-1.427994967,-1.851551533,-1.857264042,-1.843814135,-1.903989911,-2.020625353,-1.789389133,-1.852922916,-2.154896736,-2.699193239,-1.904764652,-1.789266825,-2.006542683,-2.183385849,-2.138271809,-2.234513998,-2.104535341
36,Canada,1.218031764,1.053076744,0.876447499,0.82872504,1.034956574,1.007010698,1.041372657,1.127075911,0.936318219,1.077175736,1.113016248,1.061421752,1.17550385,1.274697781,1.256058574,1.102062702,0.979125917,1.01676774,1.029841781,0.936902642
37,Switzerland,1.542368174,1.246109486,1.227339864,1.196782112,1.268117428,1.234408855,1.222245216,1.307721257,1.258594275,1.300342083,1.418336034,1.401140213,1.402652621,1.339359045,1.306290388,1.256805301,1.333553433,1.32495296,1.191661119,1.131445169
38,Chile,1.088796377,0.761611938,0.691341698,0.842383623,0.613005877,0.406370878,0.431912959,0.602584422,0.67960453,0.452553362,0.331102103,0.36374253,0.447516918,0.433439225,0.413110524,0.417135537,0.427360177,0.007929707,0.06913501,0.062636606
39,China,-0.327627182,-0.565357924,-0.390680671,-0.501756608,-0.540030122,-0.500553727,-0.493088424,-0.451781332,-0.657060683,-0.602054834,-0.53878206,-0.543789923,-0.522584021,-0.550294638,-0.499395043,-0.231018081,-0.300023288,-0.256689161,-0.329402894,-0.481860131
40,Côte d'Ivoire,-1.919733882,-1.803262711,-2.114921093,-2.259528875,-1.861868382,-1.839572787,-1.804067373,-1.320862532,-1.583894253,-1.405807614,-1.263461113,-1.048724174,-1.037160635,-0.832545936,-0.907559335,-1.090236783,-0.898689389,-1.026045561,-1.030985951,-0.952860296
41,Cameroon,-0.67726481,-0.429470658,-0.359356344,-0.182024568,-0.24470523,-0.326108962,-0.55211091,-0.474782139,-0.736971438,-0.66168797,-0.588517427,-0.532237291,-1.059252381,-0.989607453,-1.062136889,-1.095843077,-1.404167533,-1.559216738,-1.5006181,-1.406510592
42,"Congo, Rep.",-1.587167978,-1.170220375,-1.190597773,-1.165839434,-0.923411787,-0.771577418,-0.721322358,-0.250487626,-0.316415846,-0.35430038,-0.489689857,-0.475050122,-0.359291583,-0.526365995,-0.519269526,-0.531724036,-0.348404229,-0.896963596,-0.810232341,-0.606616318
43,Cook Islands,,,,,,,,1.144098997,1.322361231,,,,,,,,0.856897533,1.064756751,1.116005778,1.112288356
44,Colombia,-1.956714392,-2.376026869,-2.271226406,-2.057942867,-1.90479672,-1.806527257,-1.853462338,-1.832345843,-1.537184834,-1.284655571,-1.401810408,-1.291971803,-1.114594102,-1.069146633,-0.882459342,-0.772707641,-0.796931744,-0.949501574,-0.663913071,-0.914076626
45,Comoros,0.402049303,-0.673140526,-0.163161784,-0.436263949,-0.360273153,-1.095457792,-1.107211709,-0.76526773,-0.562939286,-0.552736104,-0.452308029,-0.256929189,-0.186910167,-0.232791469,0.035759903,0.036118098,-0.346280336,-0.154699191,-0.270785213,-0.227460593
46,Cape Verde,0.72962153,0.918948591,1.039301276,0.754638612,0.962325037,0.877260089,0.813386321,0.818449318,0.840972781,0.722605228,0.809086382,0.777999878,0.350779146,0.867810428,0.886215627,0.774638414,0.845823169,0.873942554,0.887429535,0.902458489
47,Costa Rica,1.068694472,0.59575659,0.631576538,0.708228171,0.736050129,0.582772672,0.359765232,0.587060392,0.691537201,0.508276045,0.638402462,0.677918017,0.577418208,0.682025492,0.661428332,0.608825564,0.469464213,0.45229286,0.770961821,0.872772753
48,Cuba,0.263644099,0.316652775,0.355422109,0.424785823,0.474477261,0.450941592,0.524226606,0.356679857,0.349292427,0.280382127,0.307248294,0.37056464,0.544822037,0.644101679,0.685363889,0.647056282,0.648924589,0.603123069,0.587794721,0.427318871
49,Cayman Islands,0.792559922,0.851720035,1.234749317,1.189666033,1.104799986,1.085738063,1.112509608,1.09262681,1.149637938,1.336360812,0.959384382,1.017615318,1.04634726,1.153417587,1.16849637,1.190801263,1.138934135,1.433294296,1.495361805,1.667700529
50,Cyprus,0.199420601,0.532275915,0.380177587,0.517519236,0.539664984,0.537055731,0.639003932,0.390287489,0.452444822,0.607984483,0.635126054,0.563347161,0.551882088,0.550866485,0.604254723,0.53786546,0.491742969,0.557369947,0.308603942,0.443113804
51,Czech Republic,1.044100642,0.887058139,0.653875828,0.936384082,1.053728819,1.015414,1.049879551,0.90582937,0.989233732,1.109117627,1.054106116,1.084778547,0.989990473,0.979189098,0.976115525,1.000036478,1.031982183,0.943887472,0.922095716,0.957600653
52,Germany,1.09601748,0.577859223,0.638884366,0.88891536,1.025069594,0.995823801,0.943830788,0.859902501,0.796834469,0.842218459,0.775621295,0.92798388,0.925186455,0.699824274,0.681363404,0.587721467,0.591275334,0.574308574,0.684574544,0.755996048
53,Djibouti,-0.313102961,-0.912803233,-0.344115853,-0.812229693,-0.262578547,-0.123644054,0.268389225,0.494239002,0.253481269,0.177703246,0.160619214,-0.102187522,-0.77023226,-0.443531573,-0.626400411,-0.736858666,-0.137615532,-0.35114947,-0.454957455,-0.707261562
54,Dominica,0.547456384,0.672486365,0.945150733,0.829529405,0.909698367,0.787364066,0.911906004,0.665553093,0.903117776,1.139158607,0.980585456,1.119856238,1.05717814,1.077941298,1.002437711,1.198148966,1.096157432,1.06745708,1.355244756,1.392320037
55,Denmark,1.52424407,1.203815699,1.084337354,1.073495388,1.046792865,1.118189216,1.065386772,1.001182675,1.040961027,1.10029304,0.914910674,0.959233463,0.951779723,0.897649825,0.867915452,0.868414879,0.946250618,0.995625198,0.950011313,0.949907005
56,Dominican Republic,0.118558995,-0.419894457,-0.344310492,-0.258760691,-0.109803066,-0.07857246,-0.03800771,-0.002735103,-0.044954035,-0.00048185,0.252366811,0.207428694,0.145934492,0.236706421,0.252106041,0.160588473,0.023920313,0.005306914,0.157672182,0.137410507
57,Algeria,-1.634565115,-1.754409075,-1.359188437,-0.91366601,-1.126413465,-1.150585532,-1.095846295,-1.196913481,-1.259367585,-1.360560656,-1.325043321,-1.202371478,-1.190535188,-1.090159774,-1.097525716,-0.915799141,-0.836119592,-1.044342637,-0.84025383,-0.876465023
