,Country Name,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
20,Bangladesh,1.4899999945,2.200000048,2.5549999475,3.0749999284999996,3.1899999379999997,2.9950000045,2.50999999,3.6150000095,3.334999919,8.5499999525,3.269999981,3.0449999575,3.460000038,4.320000172,4.259999990500001,4.25,3.589999914,3.8200000525,2.914999902,5.0,3.380000114,3.039999962,4.294999838,4.429999828,2.8349999785,3.5000001195,4.349999905,4.369999886,4.819999933,4.7699999805,3.3200000525
21,Bulgaria,1.700000048,11.10000038,15.30000019,16.39999962,12.80000019,11.10000038,12.5,13.69999981,12.19999981,14.10000038,16.21999931,19.92000008,18.11000061,13.72999954,12.03999996,10.07999992,8.949999809,6.880000114,5.610000134,6.820000172,10.27999973,11.26000023,12.27000046,12.93999958,11.42000008,9.140000343,7.570000172,6.159999847,5.210000038,4.230000019,5.119999886
24,Bosnia and Herzegovina,19.93500042,17.54999924,22.0,24.930000305,25.60000038,17.52499962,17.39499998,30.219999315,22.930000305,26.320000649999997,22.879999635,16.10000038,23.545000554999998,28.055000305,23.97500038,29.715000155,31.11000061,28.97999954,23.40999985,24.06999969,27.30999947,27.57999992,28.01000023,27.48999977,27.52000046,27.69000053,25.40999985,20.53000069,18.39999962,15.68999958,15.86999989
25,Belarus,3.475000024,0.050000001,0.5,1.399999976,2.099999905,2.900000095,4.0,2.799999952,2.299999952,2.099999905,2.099999905,2.299999952,3.0,3.099999905,1.899999976,1.5,1.200000048,1.0,0.800000012,6.099999905,2.014999956,0.600000024,0.5,0.5,0.5,1.0,5.840000153,5.650000095,4.760000229,4.159999847,4.050000191
26,Belize,11.6599998485,8.0550000665,7.689999819,9.779999733,11.10000038,12.47999954,13.81999969,12.68000031,14.31000042,12.84000015,8.880000116,9.069999695,10.03999996,9.115000248000001,8.71999979,10.90999985,9.390000343,8.510000229,8.180000305,8.7649998665,8.960000038,8.8799996375,9.135000229,8.350000381,8.239999771,7.579999924,7.0,6.599999905,6.345000267,9.050000191,6.3200001715
28,Bolivia,6.690000057,6.590000153,5.519999981,5.989999771,3.079999924,3.690000057,5.230000019,2.079999924,2.7499999405,3.930000067,4.46999979,5.239999771,5.480000019,3.4050000905,4.170000076,5.449999809,5.079999924,5.179999828,2.599999905,2.970000029,3.8000000715,2.25,2.069999933,2.440000057,2.019999981,3.109999895,3.5,3.650000095,3.519999981,3.680000067,7.900000095
29,Brazil,3.690000057,6.310000062,6.420000076,6.03000021,10.255000117,7.090000153,8.029999733,9.0,10.14999962,11.13000011,10.344999791,10.64999962,10.64000034,11.17000008,10.06999969,10.55000019,9.68999958,9.279999733,8.270000458,9.420000076,8.430000305,7.579999924,7.25,7.070000172,6.760000229,8.539999962,11.57999992,12.78999996,12.32999992,11.93999958,13.69999981
32,Bhutan,4.8800001145,4.504999875999999,4.8099999425,5.039999962,4.224999905,4.730000019,3.7799999714999997,2.575000048,1.399999976,1.399999976,3.230000019,1.899999976,3.4900000095,1.799999952,2.49000001,3.099999905,3.130000114,3.700000048,2.9349999425,3.960000038,3.319999933,3.230000019,2.049999952,2.869999886,2.630000114,2.450000048,3.0099999905,3.100000024,3.349999905,2.720000029,5.03000021
33,Botswana,16.035000325,13.81999969,16.690000535000003,20.930000305,21.20000076,18.640000345,21.59000015,26.939999105,20.86000061,21.24000025,15.88000011,18.54000092,21.379999635,23.79999924,18.71999931,25.164999965,17.78000069,18.840000155,26.304999350000003,16.17000008,17.86000061,18.680000305,19.505000115,22.085000035,19.289999965,20.27499962,20.835000035,20.880000115,20.724999905,20.09000015,21.02000046
35,Canada,8.130000114,10.31999969,11.19999981,11.38000011,10.39999962,9.489999771,9.619999886,9.100000381,8.279999733,7.579999924,6.829999924,7.21999979,7.659999847,7.570000172,7.190000057,6.760000229,6.320000172,6.039999962,6.139999866,8.340000153,8.06000042,7.510000229,7.289999962,7.070000172,6.909999847,6.909999847,7.0,6.340000153,5.829999924,5.659999847,9.460000038
