Country Name,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Pakistan,140619.995117188,141699.996948242,143809.997558594,146059.997558594,154240.005493164,164130.004882813,181110.000610352,198830.001831055,187309.997558594,190570.007324219,178495.93682936672
Philippines,81930.0003051758,82629.997253418,86180.0003051758,95500.0,101819.999694824,111010.00213623,121959.999084473,133500.0,138570.007324219,145419.998168945,149826.91154950828
Poland,313739.990234375,310589.996337891,303350.006103516,298299.987792969,285730.010986328,289079.986572266,299799.987792969,312859.985351563,311910.003662109,295130.004882813,288207.9181435675
Portugal,50939.998626709,49869.9989318848,48220.0012207031,46560.001373291,45930.0003051758,49849.9984741211,48759.9983215332,53330.0018310547,49500.0,44639.9993896484,39632.59496806572
Russian Federation,1617829.95605469,1699089.96582031,1675760.00976563,1632680.05371094,1611959.9609375,1592560.05859375,1571520.01953125,1594550.04882813,1661000.0,1703589.96582031,1837088.6049623808
Saudi Arabia,446130.004882813,463769.989013672,492470.001220703,503209.991455078,540520.01953125,565190.002441406,561229.98046875,545070.007324219,521260.009765625,523780.029296875,473417.7231023337
Singapore,42409.9998474121,44770.0004577637,43689.998626709,43909.9998474121,44400.0015258789,45430.0003051758,46099.9984741211,49139.9993896484,47400.0015258789,47380.0010681152,47327.904972029224
South Africa,425309.997558594,409260.009765625,426779.998779297,436920.013427734,447929.992675781,424809.997558594,425140.014648438,435649.993896484,434350.006103516,439640.014648438,458898.28830295126
Spain,273250.0,274399.993896484,269269.989013672,242809.997558594,240960.006713867,256279.998779297,247029.998779297,263450.012207031,257040.008544922,239979.995727539,227187.02942648047
Sweden,48130.0010681152,44580.0018310547,42139.9993896484,40540.0009155273,39080.0018310547,39189.998626709,38779.9987792969,38290.0009155273,36009.9983215332,35000.0,31934.323063603093
Switzerland,45209.9990844727,41189.998626709,42520.0004577637,43529.9987792969,39790.0009155273,39090.0001525879,39669.9981689453,38700.0007629395,37479.9995422363,37380.0010681152,37613.70717743292
Thailand,234380.004882813,233600.006103516,250679.992675781,260700.012207031,256799.987792969,264000.0,261600.006103516,258820.007324219,257049.987792969,267089.996337891,275126.9075370127
Turkiye,297109.985351563,317720.001220703,328880.004882813,318170.013427734,340640.014648438,351589.996337891,374589.996337891,415899.993896484,411730.010986328,396839.996337891,384645.8133650413
Ukraine,268920.013427734,283339.996337891,277109.985351563,270269.989013672,237729.995727539,191070.007324219,201660.003662109,174940.002441406,185619.995117188,174729.995727539,194311.33543414884
United Arab Emirates,162789.993286133,165600.006103516,175589.996337891,184470.001220703,184759.994506836,195240.005493164,201080.001831055,197039.993286133,177119.995117188,188860.000610352,174273.33407931877
United Kingdom,482440.002441406,445589.996337891,467779.998779297,453760.009765625,415600.006103516,401079.986572266,380809.997558594,367000.0,360730.010986328,348920.013427734,362162.87269121245
United States,5392109.86328125,5173600.09765625,4956060.05859375,5092100.09765625,5107209.9609375,4990709.9609375,4894500.0,4819370.1171875,4975310.05859375,4817720.21484375,4822157.998167437
