,Country Name,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,
24,Bosnia and Herzegovina,19.93500042,17.54999924,22,24.93000031,25.60000038,17.52499962,17.39499998,30.21999932,22.93000031,26.32000065,22.87999964,16.10000038,23.54500055,28.05500031,23.97500038,29.71500016,31.11000061,28.97999954,23.40999985,24.06999969,27.30999947,27.57999992,28.01000023,27.48999977,27.52000046,27.69000053,25.40999985,20.53000069,18.39999962,15.68999958,15.86999989,
25,Belarus,3.475000024,0.050000001,0.5,1.399999976,2.099999905,2.900000095,4,2.799999952,2.299999952,2.099999905,2.099999905,2.299999952,3,3.099999905,1.899999976,1.5,1.200000048,1,0.800000012,6.099999905,2.014999956,0.600000024,0.5,0.5,0.5,1,5.840000153,5.650000095,4.760000229,4.159999847,4.050000191,
26,Belize,11.65999985,8.055000067,7.689999819,9.779999733,11.10000038,12.47999954,13.81999969,12.68000031,14.31000042,12.84000015,8.880000116,9.069999695,10.03999996,9.115000248,8.71999979,10.90999985,9.390000343,8.510000229,8.180000305,8.764999867,8.960000038,8.879999638,9.135000229,8.350000381,8.239999771,7.579999924,7,6.599999905,6.345000267,9.050000191,6.320000172,
28,Bolivia,6.690000057,6.590000153,5.519999981,5.989999771,3.079999924,3.690000057,5.230000019,2.079999924,2.749999941,3.930000067,4.46999979,5.239999771,5.480000019,3.405000091,4.170000076,5.449999809,5.079999924,5.179999828,2.599999905,2.970000029,3.800000072,2.25,2.069999933,2.440000057,2.019999981,3.109999895,3.5,3.650000095,3.519999981,3.680000067,7.900000095,
29,Brazil,3.690000057,6.310000062,6.420000076,6.03000021,10.25500012,7.090000153,8.029999733,9,10.14999962,11.13000011,10.34499979,10.64999962,10.64000034,11.17000008,10.06999969,10.55000019,9.68999958,9.279999733,8.270000458,9.420000076,8.430000305,7.579999924,7.25,7.070000172,6.760000229,8.539999962,11.57999992,12.78999996,12.32999992,11.93999958,13.69999981,
32,Bhutan,4.880000115,4.504999876,4.809999943,5.039999962,4.224999905,4.730000019,3.779999971,2.575000048,1.399999976,1.399999976,3.230000019,1.899999976,3.49000001,1.799999952,2.49000001,3.099999905,3.130000114,3.700000048,2.934999943,3.960000038,3.319999933,3.230000019,2.049999952,2.869999886,2.630000114,2.450000048,3.009999991,3.100000024,3.349999905,2.720000029,5.03000021,
33,Botswana,16.03500033,13.81999969,16.69000054,20.93000031,21.20000076,18.64000035,21.59000015,26.93999911,20.86000061,21.24000025,15.88000011,18.54000092,21.37999964,23.79999924,18.71999931,25.16499997,17.78000069,18.84000016,26.30499935,16.17000008,17.86000061,18.68000031,19.50500012,22.08500004,19.28999997,20.27499962,20.83500004,20.88000012,20.72499991,20.09000015,21.02000046,
35,Canada,8.130000114,10.31999969,11.19999981,11.38000011,10.39999962,9.489999771,9.619999886,9.100000381,8.279999733,7.579999924,6.829999924,7.21999979,7.659999847,7.570000172,7.190000057,6.760000229,6.320000172,6.039999962,6.139999866,8.340000153,8.06000042,7.510000229,7.289999962,7.070000172,6.909999847,6.909999847,7,6.340000153,5.829999924,5.659999847,9.460000038,
37,Switzerland,2.069999933,1.820000052,2.809999943,3.549999952,3.579999924,3.089999914,3.680000067,4.130000114,3.569999933,3.049999952,2.660000086,2.49000001,2.920000076,4.119999886,4.320000172,4.440000057,3.99000001,3.640000105,3.349999905,4.110000134,4.809999943,4.409999847,4.489999771,4.75,4.829999924,4.800000191,4.920000076,4.800000191,4.710000038,4.389999866,4.820000172,
39,Chile,5.630000114,5.230000019,4.349999905,4.489999771,5.869999886,4.699999809,7.409999847,7.139999866,7.309999943,11.15999985,10.48999977,10.39000034,10.17000008,9.770000458,10.15999985,9.340000153,9.020000458,8.430000305,9.289999962,11.31000042,8.409999847,7.320000172,6.639999866,6.199999809,6.650000095,6.489999771,6.730000019,6.949999809,7.210000038,7.269999981,10.93999958,
40,China,2.5,2.299999952,2.299999952,2.599999905,2.799999952,2.900000095,3,3.099999905,3.099999905,3.099999905,3.099999905,3.599999905,4,4.300000191,4.199999809,4.199999809,4.099999905,4,4.199999809,4.300000191,4.099999905,4.099999905,4.099999905,4.050000191,4.099999905,5.050000071,5.319999934,3.900000095,4.929999828,5.150000095,5.610000134,
41,Cote d'Ivoire,2.935000062,2.375,6.699999809,4.77000022,4.795000077,4.099999905,3.054999948,4.764999986,4.099999905,3.679999948,2.789999962,3.189999938,4.450000048,5.559999943,4.904999971,1.145000011,3.529999972,3.569999933,4.574999929,7.689999819,4.134999961,1.860000015,7.21999979,4.25,4.710000038,3.090000034,1.899999976,3.269999981,3.949999929,2.400000095,3.669999927,
42,Cameroon,7.200000286,5.450000048,7.189999819,7.464999915,7.065000057,2.095000058,8.06000042,6.525000095,6.085000038,6.664999962,4.88500011,7.460000038,7.115000248,3.480000019,3.840000034,4.400000095,3.035000026,3.059999943,4.225000143,7.829999924,4.110000134,3.805000067,3,3.294999957,3.529999971,2.889999986,4.754999996,3.075000048,2.884999991,3.970000029,7.365000009,
45,Colombia,11.24499989,10.11999989,9.43999958,7.800000191,8.25,8.720000267,11.81000042,12.14000034,15,20.05999947,20.52000046,15.03999996,14.47999954,13.22000027,12.73999977,11.06000042,10.4550004,10.25,10.52000046,11.31999969,10.97999954,10.10999966,9.739999771,9.050000191,8.569999695,8.300000191,8.68999958,8.869999886,9.109999657,9.960000038,15.03999996,
48,Costa Rica,4.510000229,5.369999886,3.930000067,3.950000048,4.050000191,5.179999828,6.159999847,5.679999828,5.329999924,5.900000095,5.079999924,5.920000076,6.329999924,6.559999943,6.389999866,6.570000172,5.739999771,4.489999771,4.78000021,7.710000038,7.170000076,9.520000458,9.109999657,8.220000267,8.5,8.420000076,8.090000153,7.730000019,9.010000229,10.81000042,16.43000031,
53,Cyprus,1.799999952,3,2.089999914,2.700000048,2.700000048,2.599999905,3.099999905,3.400000095,3.299999952,5.53000021,4.769999981,4.039999962,3.339999914,4.150000095,4.769999981,5.480000019,4.590000153,3.950000048,3.75999999,5.590000153,6.360000134,7.940000057,12.10000038,16.12999916,16.28000069,15.02999973,13.01000023,11.15999985,8.5,7.150000095,7.760000229,
54,Czechia,0.699999988,2.269999981,2.599999905,3.829999924,3.849999905,3.430000067,3.980000019,4.260000229,5.889999866,8.479999542,8.760000229,8.130000114,7.28000021,7.78000021,8.300000191,7.929999828,7.139999866,5.320000172,4.389999866,6.659999847,7.28000021,6.710000038,6.980000019,6.949999809,6.110000134,5.050000191,3.950000048,2.890000105,2.25,2.019999981,2.549999952,
55,Germany,4.889999866,5.320000172,6.320000172,7.679999828,8.729999542,8.159999847,8.819999695,9.859999657,9.789999962,8.850000381,7.920000076,7.769999981,8.479999542,9.779999733,10.72999954,11.17000008,10.25,8.659999847,7.519999981,7.739999771,6.96999979,5.820000172,5.380000114,5.230000019,4.980000019,4.619999886,4.119999886,3.75,3.380000114,3.140000105,3.859999895,
56,Djibouti,15.31000018,16.07500005,17.0699997,18.15500021,19.42999983,22.32999945,24.22499943,22.78499985,29.75,28.88500119,20.25499964,26.09000015,30.375,27.65500069,26.32999992,24.57000065,23.67500019,22.41000081,21.21000004,20.4800005,22.3000002,19.51000023,20.49500084,20.96500016,21.57000065,22.93500042,23.9800005,26.05999947,25.23999977,25.44000054,25.11499977,
58,Denmark,8.340000153,9.100000381,9.029999733,10.72000027,8.039999962,6.989999771,6.840000153,5.400000095,5.039999962,5.139999866,4.480000019,4.159999847,4.269999981,5.400000095,5.199999809,4.829999924,3.900000095,3.799999952,3.680000067,6.409999847,7.75,7.769999981,7.800000191,7.380000114,6.929999828,6.28000021,5.989999771,5.829999924,5.130000114,5.019999981,5.639999866,
59,Dominican Republic,7.529999971,9.949999807,9.494999885,11.125,8.945000172,8.240000248,7.625,6.939999819,6.654999971,6.554999829,6.429999828,7.260000229,6.78000021,6.940000057,6.300000191,6.590000153,5.650000095,5.159999847,4.760000229,5.46999979,5.210000038,6.090000153,6.71999979,7.349999905,6.71999979,7.610000134,7.28000021,5.829999924,5.860000134,6.179999828,6.130000114,
66,Ecuador,5.880000114,8.18999958,8.56000042,7.949999809,6.679999828,6.699999809,10.38000011,9.170000076,11.48999977,13.96000004,4.800000191,4.25,4.025000095,5.659999847,5,3.779999971,3.549999952,3.140000105,3.920000076,4.610000134,4.090000153,3.460000038,3.230000019,3.079999924,3.480000019,3.619999886,4.599999905,3.839999914,3.529999971,3.809999943,6.110000134,
67,"Egypt, Arab Rep.",8.430000305,9.380000114,8.920000076,10.92000008,10.93000031,11.03999996,9,8.369999886,8.029999733,7.949999809,8.979999542,9.260000229,10.01000023,10.90999985,10.31999969,11.05000019,10.48999977,8.800000191,8.520000458,9.090000153,8.760000229,11.85000038,12.60000038,13.14999962,13.10000038,13.05000019,12.44999981,11.77000046,9.859999657,7.849999905,7.940000057,
70,Spain,16.27000046,15.93000031,17.70000076,22.15999985,24.20999908,22.68000031,22.13999939,20.70000076,18.67000008,15.47999954,13.78999996,10.35000038,11.14999962,11.27999973,11.09000015,9.149999619,8.449999809,8.229999542,11.25,17.86000061,19.86000061,21.38999939,24.79000092,26.09000015,24.44000053,22.05999947,19.63999939,17.21999931,15.25,14.10000038,15.52999973,
71,Estonia,3.165000051,0.100000001,1.700000048,1.899999976,2.200000048,5.159999848,14.2900002,10.32999992,9.520000458,11.57999992,13.35999966,13.13000011,10.02999973,11.28999996,10.25,8.029999733,5.909999847,4.590000153,5.449999809,13.55000019,16.70999908,12.32999992,10.02000046,8.630000114,7.349999905,6.190000057,6.760000229,5.760000229,5.369999886,4.449999809,6.800000191,
72,Ethiopia,2.284999967,2.949999928,1.349999979,1.899999976,3.099999905,2.299999953,2.799999953,2.899999977,2.820000053,3.710000038,4.25000012,3.409999967,3.549999953,4.305000067,2.485000014,2.5,2.599999964,3.084999919,2.499999911,3.049999953,2.965000093,1.895000011,2.074999988,2.25,1.319999934,2.149999976,4.74000001,5.705000043,3.485000014,3.670000076,4.195000053,
75,Finland,3.069999933,6.5,11.60000038,16.20000076,16.43000031,17,15.56999969,14.97000027,13.21000004,11.68999958,9.729999542,10.28999996,10.42000008,10.47000027,10.35999966,8.369999886,7.71999979,6.849999905,6.349999905,8.25,8.390000343,7.78000021,7.690000057,8.18999958,8.659999847,9.380000114,8.819999695,8.640000343,7.360000134,6.690000057,7.760000229,
76,Fiji,4.75,5.929999828,5.349999905,5.880000114,5.699999809,5.400000095,5.78000021,5,4.305000067,4.759999991,5.155000091,4.424999953,6.340000153,8.220000267,4.699999809,3.890000105,4.964999915,4.754999876,8.93999958,8.720000267,8.909999847,4.409999847,9,3.980000019,6.170000076,4.795000077,4.320000172,6.805000066,4.015000105,6.410000088,6.200000048,
77,France,9.359999657,9.130000114,10.19999981,11.31999969,12.59000015,11.82999992,12.36999989,12.56999969,12.06999969,11.97999954,10.22000027,8.609999657,8.909999847,8.31000042,8.909999847,8.880000114,8.829999924,8.010000229,7.389999866,9.119999886,9.279999733,9.229999542,9.840000153,9.909999847,10.27000046,10.35000038,10.06000042,9.409999847,9.020000458,8.409999847,8.010000229,
81,United Kingdom,6.96999979,8.550000191,9.770000458,10.35000038,9.649999619,8.68999958,8.18999958,7.070000172,6.199999809,6.039999962,5.559999943,4.699999809,5.039999962,4.809999943,4.590000153,4.75,5.349999905,5.260000229,5.619999886,7.539999962,7.789999962,8.039999962,7.880000114,7.519999981,6.110000134,5.300000191,4.809999943,4.329999924,4,3.74000001,5.335000038,
82,Georgia,8.965000153,10.12000036,14.14999998,13.79999972,12.49999976,10.04999971,2.400000095,5,14.52999973,13.80000019,10.81999969,11.15999985,12.59000015,11.51000023,12.61999989,13.81000042,13.56999969,13.27999973,17.87000084,20.70999908,20.20000076,19.62999916,19.64999962,19.42000008,17.44000053,16.51000023,16.60000038,13.93999958,12.67000008,11.56999969,11.72999954,
83,Ghana,4.650000185,3.49000001,4.699999809,6.849999905,4.129999876,4.465000034,6.02000022,5.975000143,8.199999809,10.10000038,10.46000004,5.225000024,3.549999953,5.599999905,7.355000019,3.150000036,4.639999866,3.974999904,5.879999876,3.049999953,5.380000114,2.60500002,1.919999972,2.170000076,2.824999929,6.809999943,5.569999933,3.369999886,5.289999962,5.64500022,1.844999999,
85,Guinea,11.21000004,12.43500042,12.0250001,13.14499998,11.28999996,9.480000021,9.264999867,7.794999838,6.369999886,7.569999933,4.400000096,3.919999957,4.550000191,4.940000057,4.84499979,7.394999981,6.930000067,4.389999986,5.225000024,8.005000114,11.13999987,11.56000018,11.625,10.55499983,9.394999744,8.095000029,4.374999881,6.269999981,5.434999943,5.019999981,5.629999876,
86,"Gambia, The",8.88500011,5.889999867,5.264999867,5.080000162,4.980000019,5.215000153,5.285000086,11.24000001,12.41000032,9.644999743,10.36999988,9.670000077,9.710000037,7.855000019,6.049999952,5.470000148,5.12500003,4.980000213,4.679999784,4.630000144,4.779999912,2.60499993,9.420000076,6.089999795,4.00000006,6.514999986,6.810000182,7.615000008,4.130000114,7.625000002,3.8950001,
87,Guinea-Bissau,4.694999933,4.235000134,3.475000024,3.74000001,6.5849998,5.125,3.994999886,3.34499991,3.465000034,3.014999986,2.825000048,3.080000043,3.24000001,3.534999967,3.74000001,3.544999957,3.350000024,3.430000067,3.59499991,4.51000011,4.345000148,4.110000014,3.994999886,4.034999967,3.845000029,3.704999924,3.649999976,3.415000081,3.200000048,3.370000005,4.494999886,
89,Greece,7.019999981,7.650000095,7.840000153,8.609999657,8.859999657,9.06000042,9.649999619,9.569999695,10.22000027,12.14000034,11.34000015,10.76000023,10.35000038,9.840000153,10.63000011,10.06999969,8.909999847,8.350000381,7.659999847,9.550000191,12.72000027,17.96999931,24.72999954,27.69000053,26.70999908,24.97999954,23.51000023,21.40999985,19.18000031,17.04000092,15.89999962,
92,Guatemala,1.465000019,3.909999967,4.209999918,4.424999952,2.789999962,4.184999943,5.055000186,2.654999972,4.180000007,2.555000007,3.759999991,4.680000007,3.274999976,2.809999943,2.970000029,3.75,1.899999976,3.379999996,2.295000017,3.779999971,3.5,4.130000114,2.75999999,3.019999981,2.720000029,2.50999999,2.579999924,2.460000038,2.279999971,2.190000057,4.480000138,
97,Honduras,4.78000021,4.579999924,3.059999943,4.829999924,3.509999991,3.24000001,4.369999886,3.319999933,4.019999981,3.849999905,4.539999961,4,4.019999981,5.300000191,5.989999771,4.909999847,3.569999933,3.210000038,3.160000086,3.289999962,4.119999886,4.46999979,3.75,5.650000095,7.079999924,6.150000095,6.730000019,5.53000021,5.619999886,5.550000191,10.68000031,
99,Croatia,5.065000177,11.14000034,12.11000013,11.55999995,12.28999997,12.07499981,9.680000305,9.710000038,11.39000034,13.56000042,16.05999947,15.81999969,15.05000019,13.92000008,13.65999985,12.60000038,11.13000011,9.909999847,8.529999733,9.199999809,11.61999989,13.68000031,15.93000031,17.25,17.29000092,16.18000031,13.10000038,11.21000004,8.430000305,6.619999886,7.510000229,
101,Hungary,1.700000048,8.5,9.93999958,12.10000038,10.85000038,10.17000008,10.02000046,8.989999771,8.930000305,6.96999979,6.559999943,5.710000038,5.610000134,5.869999886,5.829999924,7.190000057,7.489999771,7.409999847,7.820000172,10.02999973,11.17000008,11.02999973,11,10.18000031,7.730000019,6.809999943,5.110000134,4.159999847,3.710000038,3.420000076,4.25,
106,Indonesia,2.539999962,2.619999886,2.730000019,2.779999971,4.369999886,3.88500011,4.860000134,4.679999828,5.460000038,6.360000134,6.079999924,6.079999924,6.599999905,6.659999847,7.300000191,7.940000057,7.550000191,8.06000042,7.210000038,6.110000134,5.610000134,5.150000095,4.46999979,4.340000153,4.050000191,4.510000229,4.300000191,3.779999971,4.389999866,3.589999914,4.25,
109,India,3.195000112,4.089999915,2.544999957,3.289999962,6.829999924,2.015000016,3.829999924,2.924999952,3.389999986,6.924999953,2.730000019,3.495000005,4.285000086,4.490000129,5.549999953,8.699999809,6.764999986,3.640000105,4.110000015,10.6500001,3.119999886,3.96999991,3.220000029,4.290000081,5.464999915,6.410000086,4.264999985,5.525000095,7.650000095,6.510000229,6.730000141,
111,Ireland,14.07999992,15.77000046,15.02000046,15.56999969,14.53999996,11.97000027,11.68999958,10.18999958,7.699999809,5.800000191,4.320000172,3.680000067,4.21999979,4.480000019,4.489999771,4.340000153,4.409999847,4.980000019,6.769999981,12.60999966,14.52999973,15.35000038,15.44999981,13.72999954,11.85999966,9.909999847,8.369999886,6.710000038,5.739999771,4.949999809,5.619999886,
112,"Iran, Islamic Rep.",8.225000382,11.10000038,8.715000153,9.940000059,9.755000117,9.339999913,9.100000381,7.60500002,7.4599998,7.819999933,7.739999771,8.820000171,12.80000019,10.72499991,10.30000019,11.81000042,11.52000046,10.77000046,10.63000011,12.10999966,13.68000031,12.48999977,12.27000046,10.60000038,10.68000031,11.17000008,12.61999989,12.22999954,12.18999958,10.73999977,9.68999958,
114,Iceland,2.284999967,2.549999952,4.309999943,5.260000229,5.329999924,5.199999809,3.599999905,3.720000029,2.74000001,2.00999999,2.309999943,2.25999999,3.25,3.519999981,3.400000095,2.869999886,2.829999924,2.25,2.950000048,7.21999979,7.559999943,7.03000021,6,5.380000114,4.900000095,3.980000019,2.980000019,2.74000001,2.700000048,3.50999999,6.429999828,
115,Israel,12.23999977,13.39000034,14.07999992,12.73999977,9.930000305,8.779999733,8.460000038,9.75,10.75,11.18000031,11.10000038,11.81000042,12.89000034,13.51000023,13.02999973,11.34000015,10.71000004,9.380000114,7.699999809,9.529999733,8.479999542,7.139999866,6.860000134,6.210000038,5.889999866,5.25,4.800000191,4.21999979,4,3.799999952,4.329999924,
116,Italy,9.779999733,10.10000038,9.319999695,10.21000004,11.09000015,11.65999985,11.85999966,11.97999954,12.11999989,11.68000031,10.82999992,9.600000381,9.210000038,8.869999886,7.869999886,7.730000019,6.78000021,6.079999924,6.71999979,7.75,8.359999657,8.359999657,10.64999962,12.14999962,12.68000031,11.89999962,11.68999958,11.21000004,10.60999966,9.949999809,9.159999847,
117,Jamaica,15.72000027,15.73999977,15.75,16.31999969,15.34000015,16.22999954,16.01000023,16.35000038,15.5,15.73999977,15.53999996,14.93000031,14.18999958,11.72999954,12.21000004,11.26000023,10.31999969,9.75,6.670000076,7.309999943,7.630000114,8.029999733,8.68999958,9.699999809,9.050000191,13.51000023,8.630000114,7.400000095,5.46999979,4.989999771,6.5,
118,Jordan,12.6500001,14.03999996,21.09000016,19.70000076,13.32499981,14.60000038,13.69999981,16.30499983,18.4100008,14.57499981,13.69999981,14.69999981,15.30000019,14.5,12.26499987,14.80000019,14,13.10000038,12.69999981,12.89999962,12.5,12.89999962,12.19999981,12.60000038,11.89999962,13.07999992,15.27999973,18.12000084,18.26000023,16.79999924,19.20999908,
120,Kazakhstan,9.424999953,0.050000001,0.400000006,1.110000014,7.539999962,10.97999954,12.96000004,13.01000023,13.13000011,13.46000004,12.75,10.43000031,9.329999924,8.779999733,8.399999619,8.130000114,7.789999962,7.260000229,6.630000114,6.550000191,5.769999981,5.389999866,5.289999962,5.199999809,5.059999943,4.929999828,4.960000038,4.900000095,4.849999905,4.800000191,4.889999866,
121,Kenya,8.564999818,9.355000256,10.20000005,10.2099998,8.380000115,8.46999979,8.639999867,6.524999976,10.26999998,10,6.9150002,9.790000201,8.720000266,11.64499998,10.88999987,9.960000038,9.960000038,10.54500008,7.609999895,9.600000381,5.799999714,7.019999981,5.040000082,6.279999972,6.13499999,6.49000001,2.75999999,5.814999819,5.825000048,5.010000229,3.929999948,
122,Kyrgyz Republic,5.159999967,6.74000001,7.480000019,8.929999829,8.909999848,8.675000191,8.109999657,7.234999895,7.474999905,7.444999695,7.539999962,7.840000153,12.55000019,9.920000076,8.529999733,8.109999657,8.270000458,8.100000381,8.220000267,8.409999847,8.640000343,8.529999733,8.430000305,8.329999924,8.050000191,7.559999943,7.210000038,6.889999866,3.670000076,4.25,4.630000114,
126,"Korea, Rep.",2.450000048,2.410000086,2.50999999,2.880000114,2.480000019,2.059999943,2.049999952,2.609999895,6.960000038,6.340000153,4.059999943,3.700000048,3.049999952,3.349999905,3.420000076,3.480000019,3.25,3.00999999,2.960000038,3.359999895,3.319999933,2.99000001,2.809999943,2.75,3.079999924,3.549999952,3.650000095,3.650000095,3.819999933,3.75,3.930000067,
129,Lao PDR,2.330000043,1.824999953,0.954999998,1.300000012,2.399999976,2.599999905,2.264999927,2.784999967,2.745000005,2.664999962,2.480000019,2.644999981,2.094999999,3.724999905,2.070000053,1.350000024,3.215000034,2.449999929,0.98999998,7.549999953,0.709999979,2.195000053,1.919999972,3.444999993,1.689999938,4.480000139,5.680000067,3.269999981,2.519999981,2.269999922,1.844999999,
138,Sri Lanka,15.89999962,14.65999985,14.22000027,13.81999969,13.02999973,12.27000046,11.35000038,10.60000038,9.170000076,8.880000114,7.739999771,7.900000095,8.760000229,8.220000267,8.380000114,7.670000076,6.5,5.96999979,5.21999979,5.849999905,4.78000021,4.119999886,3.880000114,4.239999771,4.190000057,4.519999981,4.239999771,4.050000191,4.320000172,4.670000076,5.199999809,
141,Lesotho,19.93500042,19.15999985,13.90499962,23.70000076,25.60000038,18.19499925,30.1949997,37.93999863,27.68000031,27.27000046,24.04000044,24.53000069,16.41500026,30.24499893,38.43000031,39.36000061,11.14500046,32.10499954,35.45999908,24.25999928,25.49500084,29.53999996,20.53000021,24.57999992,14.77499956,27.06000042,24.85499955,17.34499979,15.9800005,16.87999916,18.78499985,
143,Lithuania,2.384999991,8.80000019,13.45000029,13.08999968,17.32999992,17.54000092,16.39999962,14.13000011,13.71000004,13.39000034,15.93000031,16.84000015,13.01000023,12.86999989,10.68000031,8.319999695,5.78000021,4.25,5.829999924,13.78999996,17.80999947,15.39000034,13.35999966,11.77000046,10.69999981,9.119999886,7.860000134,7.070000172,6.150000095,6.260000229,8.489999771,
144,Luxembourg,1.610000014,1.480000019,2.029999971,2.329999924,3.480000019,2.920000076,3.289999962,2.529999971,2.75999999,2.390000105,2.349999905,1.809999943,2.619999886,3.680000067,5.110000134,4.489999771,4.730000019,4.070000172,5.059999943,5.119999886,4.360000134,4.900000095,5.139999866,5.849999905,5.849999905,6.670000076,6.289999962,5.519999981,5.590000153,5.590000153,6.769999981,
145,Latvia,8.350000024,9.499999811,8.500000119,5.839999855,9.764999984,15.01000023,20.93000031,14.89999962,14.44999981,13.78999996,14.21000004,13.81999969,13.82999992,12.06000042,11.71000004,10.02999973,7.03000021,6.050000191,7.739999771,17.51000023,19.47999954,16.20999908,15.05000019,11.86999989,10.85000038,9.869999886,9.640000343,8.720000267,7.409999847,6.309999943,8.100000381,
148,Morocco,15.80000019,16.97999954,15.68000031,15.68999958,14.67000008,22.86000061,17.76000023,16.67000008,19.12000084,13.93999958,13.57999992,12.46000004,11.59000015,11.92000008,10.82999992,11.01000023,9.670000076,9.56000042,9.569999695,8.960000038,9.090000153,8.909999847,8.989999771,9.229999542,9.699999809,9.460000038,9.300000191,7.144999981,3.900000095,4.619999886,5.565000057,
