,Country Name,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027
32,India,-7.764013903,-7.757095069,-8.422456797,-7.859094074,-6.696948115,-6.589632972,-8.13344322,-9.574478112,-8.550728602,-8.264003329,-10.84282609,-10.88126472,-11.23113542,-9.062075245,-7.368330522,-6.320713097,-4.505137454,-8.982172837,-9.534028834,-8.625845182,-8.349151646,-7.549559685,-6.999618196,-7.071068563,-7.205084204,-7.120009714,-6.227235694,-6.375815459,-7.493424902,-12.75687531,-9.980261714,-9.88437011,-9.02592329,-8.497218884,-7.915869013,-7.543223365,-7.289517892
33,Indonesia,,,,0.00485037,0.640948135,0.962360913,-1.033756429,-1.893491985,-0.959390205,-1.869997613,-1.763414748,-0.576098503,-1.077264611,-0.260210025,0.423535186,0.372497299,-0.947178171,0.054113001,-1.644115315,-1.242195971,-0.702931864,-1.586458811,-2.21677129,-2.145667473,-2.603505797,-2.486273918,-2.509060878,-1.75014671,-2.229213931,-6.112334073,-4.617962611,-3.863186271,-2.919303342,-2.86533534,-2.680553893,-2.542849984,-2.494078459
34,Ireland,-2.796361503,-2.83838952,-2.623444951,-1.81608586,-2.073521435,-0.197394716,1.373198847,2.071216322,3.536980957,4.85455685,0.960283072,-0.519639995,0.346414612,1.297589259,1.570408559,2.775043804,0.267874359,-7.03069686,-13.87313516,-32.11903795,-13.58213649,-8.463513937,-6.395403913,-3.611758977,-2.037448284,-0.761456074,-0.287980709,0.142178789,0.443587839,-5.100258559,-1.651766549,0.364262287,0.477873888,0.655476115,0.749492049,0.661554258,0.642766288
35,Israel,,,,,,,,,,,-3.821865949,-7.951615443,-4.811583287,-3.38976255,-2.57395564,-0.893124199,-0.301451953,-3.487289071,-6.51759178,-3.719281849,-3.351488987,-4.336572984,-4.095925714,-2.28754531,-1.148880264,-1.710078524,-1.117675553,-3.593668615,-3.85088084,-10.66358089,-3.809204803,0.087879572,-0.375979032,-1.337608075,-2.388856292,-2.535986007,-2.617622941
36,Italy,-11.02055538,-10.0318149,-9.698683152,-8.78231363,-7.210271158,-6.614671776,-2.981623241,-2.988259281,-1.772796471,-2.423333465,-3.190306547,-2.869301371,-3.217625671,-3.478850032,-4.082520775,-3.616569212,-1.34025662,-2.563902158,-5.121045664,-4.2397375,-3.593011944,-2.945408004,-2.854255154,-2.954396724,-2.552201794,-2.40390002,-2.419104534,-2.18619153,-1.54015873,-9.597214175,-7.175086669,-5.445849158,-3.886854463,-3.541704675,-3.016107034,-2.976812365,-2.954022629
38,Kazakhstan,,,,,,,,,,,,,3.996044417,3.287322271,6.077757962,7.652629268,5.13441638,1.227135084,-1.328048497,1.469692239,5.811036371,4.430881157,4.945692866,2.481848067,-6.259289827,-4.50321692,-4.265508564,2.579564209,-0.569542669,-7.036916264,-4.96605193,-2.034254728,-1.860338795,-0.943745974,-0.657571125,-0.832555343,-0.963891679
39,Kenya,-6.560991233,-8.276171752,-8.574485432,-4.142013311,-0.229636678,-0.490408868,-0.906758808,-0.027659111,0.842639138,0.380758038,-0.527682131,-1.294537668,-0.727511511,0.502326066,-0.19335509,-0.432191383,-0.95420098,-1.951606992,-3.124429861,-3.673265481,-3.638726354,-5.287786928,-5.24594006,-5.753333226,-6.682220835,-7.453007215,-7.366444588,-6.908667541,-7.399774448,-8.12970594,-8.015341902,-6.956960353,-5.265601763,-4.405357695,-4.161728083,-3.935632943,-3.659799539
42,Latvia,,,,,,,,,-3.442978035,-2.501781659,-1.984623265,-2.504743663,-1.591677511,-0.991929214,-1.020114306,-0.456089482,0.593771938,-3.128670647,-6.941019047,-6.426707337,-3.27415534,0.175019449,-0.560897616,-1.68164657,-1.520017794,-0.395142484,-0.821482948,-0.737902174,-0.380988807,-3.817122877,-5.553729941,-5.967353077,-2.65866432,-1.993780915,-1.964569257,-0.80523745,-0.419477268
43,Madagascar,-4.398129484,-5.003861736,-6.33821748,-7.232908359,-5.087550777,-3.970637581,-1.997251403,-5.307739179,-2.420563572,-2.35253754,-3.614406154,-4.092046062,-3.321644201,-4.232413882,-2.474755887,-5.710995498,-2.307582103,-1.723202612,-2.261323331,-0.760375833,-2.043157171,-2.237311654,-3.402964519,-1.960686063,-2.850272851,-1.107233859,-2.102886554,-1.337829545,-1.42078555,-3.955412557,-2.872095198,-6.483220246,-4.823646523,-4.701872114,-4.067232478,-3.746810158,-3.386277608
44,Malaysia,1.601570994,1.80547431,3.439744485,5.448558356,3.102752362,3.269790264,4.840118079,-0.627248857,-3.002698643,-6.052531378,-4.360678479,-3.959800368,-4.596958967,-3.35346367,-2.832840099,-2.601963366,-2.57083038,-3.404737749,-5.879790486,-4.319070489,-3.567623431,-3.102877242,-3.478227832,-2.62843747,-2.545884366,-2.602873756,-2.411829165,-2.64466841,-2.00979945,-4.619087044,-5.45629143,-4.907508015,-3.77617424,-3.645175001,-3.543308253,-3.359696394,-3.40170702
45,Mali,,,,,,,,,,,-2.798265618,-3.094188867,-1.187494832,-2.359850541,-2.764112925,27.78299183,-2.784249125,-1.976787138,-3.716855526,-2.567534563,-3.416808715,-0.956306003,-2.371998729,-2.886461117,-1.821700512,-3.945064569,-2.861609435,-4.742060674,-1.6840023,-5.420040138,-4.955934059,-5.0,-4.7,-4.0,-3.0,-3.0,-3.0
46,Mexico,1.580155469,2.393153801,-1.603235986,-2.365070307,-2.404946626,-3.84387728,-3.63633337,-4.755545774,-4.721342042,-2.81477226,-2.706675653,-2.290238431,-2.355481126,-1.41030566,-1.49938925,-1.282297332,-1.527124003,-0.712951317,-4.125045437,-3.975055986,-3.335840267,-3.726329435,-3.707050614,-4.534639469,-3.995194916,-2.76529627,-1.062430462,-2.197884481,-2.328653726,-4.413063474,-3.801287619,-3.775645058,-4.111719797,-2.694340128,-2.654898261,-2.655587922,-2.669445127
