,Unnamed: 0,Country Name,New_debt ,New_fiscal balance,New_GDP growth,New_GDP per capita,New_Inflation rate,New_trade index,New_gini index,New_Intentional homicides,New_Life expectancy,New_School enrollment,New_unemployment,New_ControlofCorruption,New_GovernmentEffectiveness,New_PoliticalStability,New_RegulatoryQuality,New_RuleofLaw,New_VoiceandAccountability,得分
10,10,Bangladesh,0.148338144273093,-0.351988434942984,0.128849223094414,0.426065122272653,0.271323836586668,0.21826161536074,0.182574186,0.204776495,0.195798045,0.375318852,0.187878183,-0.209379281902323,-0.227356324367723,-0.161561175903581,-0.22772853202535,-0.160294168153054,-0.334195684196244,0.007250046650470186
11,11,Bulgaria,0.18997133765906,-0.30979087898146,-0.20584475648499,0.329108190865736,0.231906494361624,0.247306325118563,0.191548822,0.271093651,0.181673202,0.258047987,0.264654955,-0.308866807303906,-0.3683263277941,0.308865643424,0.17744364941176,-0.223493880881093,0.128051243927414,0.008484297852232637
12,12,Bosnia and Herzegovina,0.30776189826181,-0.411543527208051,-0.190484170204293,0.30475877048096,0.0412283673802511,0.239482163116317,0.179605302,0.273215961,0.185262241,0.198203871,0.317800616,-0.359932560395728,-0.362239098097914,-0.213262260554871,-0.160028905385905,-0.193436854274981,-0.439931462092345,0.005779148536954858
13,13,Belarus,0.0,-0.123122269960654,-0.0262750091634695,0.264288241695158,0.280423205131782,0.214814303527532,0.0,0.250939886,0.18900472,0.223220873,0.090603164,-0.05483511504868,-0.202071462654142,-0.577213221243672,-0.158098909995305,-0.245194669426855,-0.222913681651912,0.006710491836947617
14,14,Belize,0.0,-0.428883305427725,-0.636916562278507,0.214564865461312,0.211430907746805,0.257297524206536,0.268202911,0.22119589,0.184295694,0.252033014,0.270774008,-0.200430720955016,-0.324263827380321,0.557298952050934,-0.30380664642960997,-0.327886182618458,0.196166002850379,0.007594366814056125
15,15,Bolivia,0.0,-0.491231562693606,-0.412714135244093,0.295724352837341,0.200533427849146,0.187500501661618,0.291010493,0.317125131,0.181926851,0.268332392,0.0,-0.291688435551254,-0.289973737256342,-0.187276350636872,-0.283238584508943,-0.278830211532888,-0.252155693108449,0.005131852766802323
16,16,Brazil,0.0,-0.511056580661121,-0.239270744143478,0.175492301245276,0.262912910384342,0.2334192072638,0.353318859,0.216865807,0.186484176,0.275263035,0.0,-0.342179222216617,-0.412678806412275,-0.309497782941277,-0.150345185578993,-0.185587630220849,0.150860702449503,0.006184439413836958
17,17,Bhutan,0.0,-0.0969867174939693,-0.280781714755601,0.299404010482283,0.242942935387344,0.227824591696076,0.201203877,0.169064284,0.197078265,0.368762156,0.00087317,0.339363853533382,0.22822579700512,0.245242209414954,-0.0862164861712521,0.34603994191182,0.061508449155467,0.010766063750503149
18,18,Botswana,0.0894319773096747,-0.362081589153832,-0.290772878378483,0.230221213021012,0.257359173216357,0.220766503775884,0.27831638,0.313769789,0.203354599,0.275551246,0.142351331,0.161755771403308,0.104437188886603,0.233917169310462,0.194748474982505,0.180677795012485,0.226479064186511,0.01042128602748017
19,19,Canada,0.0,-0.810914835233725,-0.44468224128323,0.227119772716498,0.0587927170369964,0.209339965921559,0.179605302,0.155227677,0.183466463,0.206589603,0.08974147,0.197390335569988,0.215505930157893,0.228807029788809,0.2243247932591,0.219905270471913,0.239034957313261,0.009026314112709252
20,20,Switzerland,0.259495704484035,-0.555964968385432,-0.228732679598355,0.260841273986763,0.0564906265081258,0.256872954411877,0.179605302,0.25326463,0.184341085,0.252244382,0.012973637,0.23756538937433,0.240550292376211,0.217282981905462,0.224957556110641,0.230861141205408,0.232435291705246,0.010255096255474947
21,21,Chile,0.0,-0.439586235186751,-0.307921340657317,0.244311932254909,0.268799239450593,0.276065459818066,0.25173222,0.11633614,0.184167733,0.279119826,0.016472066,0.206107840403743,0.166210739350402,0.0319335471243073,0.164619398609263,0.191075242426811,0.219560295412592,0.009662125770970822
22,22,China,0.0,-0.680983116940565,0.0564443883700175,0.37679317101586,0.254552298210625,0.240863501232743,0.214927037,0.265496994,0.190370542,0.378655672,0.0,-0.0253871640744752,0.501485793730757,-0.16003382086946,-0.154824883410072,-0.0396734583742164,-0.240534321156492,0.008308989468521502
23,23,Cameroon,0.0,-0.102594391872252,0.0140075762205871,0.255686371747563,0.265741886545754,0.210212057798406,0.24735345,0.222623433,0.19523323,0.321490222,0.035148006,-0.232589891912717,-0.24662095304111,-0.404851264506265,-0.226607682318501,-0.247237523865252,-0.269594272811497,0.006769604815292233
24,24,Colombia,0.0,-0.560118370709761,-0.357947656955584,0.207626259243858,0.227597154988203,0.195635642331211,0.15898313,0.275512663,0.183879731,0.266978028,0.101879926,-0.170987962126629,0.0658866768095771,-0.102310257116783,0.209062933666195,-0.262309220280124,0.180321248227176,0.007639781694947447
25,25,Costa Rica,0.0,-0.403300562556135,-0.208297004790473,0.30429291614774,0.234106536643561,0.232366423249029,0.10943251,0.036422298,0.182273969,0.239309762,0.0,0.281100256099591,0.176568934560857,0.294770837600159,0.201795654443796,0.245833206381071,0.254244450587308,0.010498982580525791
26,26,Cyprus,0.0,-0.346518221498473,-0.227833188235004,0.232000336124966,0.0905300604261139,0.195248060040818,0.182574186,0.120741475,0.187263767,0.36952612,0.14174191,0.0915546205569793,0.168567480474353,0.13744604483983,0.203429250289073,0.136924630109347,0.20919260686008,0.00998209954981911
27,27,Germany,0.0,-0.407834073035859,-0.327436288012886,0.256712615309007,0.0358749206922022,0.238705565419764,0.007622245,0.22415834,0.184586903,0.231710134,0.279859058,0.240658154450004,0.205507311346635,0.203509639567552,0.232098916926416,0.218726501491999,0.233322927020522,0.010121865496966335
