,Country Name,ControlofCorruption,PoliticalStability,GovernmentEffectiveness,RegulatoryQuality,RuleofLaw,VoiceandAccountability,GDP per capita,GDP growth,debt index,Inflation rate,fiscal balance,trade index,unemployment,School enrollment,Life expectancy,Intentional homicides,gini index,得分
64,Bosnia and Herzegovina,-0.027878150394996668,-0.0021309321202900304,-0.04970610160367079,-0.004197452790569783,-0.01253402028052647,-0.00709019846234006,0.01781162834896551,0.0218993186603852,0.09883713284625242,0.08847205813415972,-0.0649866535256134,0.07098692561782419,0.028323233788970174,0.08891481066412525,0.09464521474221795,0.09801703122618749,0.09964768588086544,0.4275585467161619
24,Botswana,0.07563294868726597,0.11242363237891334,0.030187024673532927,0.07703477176456781,0.05114579958849538,0.04471548655938868,0.023457073505343044,0.10812456019964037,0.11847410074070897,0.09494443199577418,0.08788554633501323,0.06040336744577678,0.05843955063787547,0.049343085582137604,0.07831913724184539,0.08743979164283594,0.046357836475011314,0.2671737317254569
49,Brazil,-0.034023465493350266,-0.007809748899301552,-0.01852306746066764,-0.0028424358027168473,-0.0049974763517914925,0.0471557882325664,0.04137247312417598,0.00956474142764882,0.09066463847572939,0.09273719144242552,-0.1362348786276891,0.08647838824168919,0.09975342622437028,0.09066659437587767,0.0929526867475812,0.055328255890962665,0.047657588899544336,0.42870348367502736
51,Bulgaria,-0.028164823187623284,0.008726469467846993,-0.011620912575246741,0.05895129238524963,-0.007765442286818733,0.03661791313455186,0.027082440483381206,0.01835052476132351,0.10865147746545013,0.08760680985889466,-0.08262561150721437,0.0765286968959353,0.08723850521583441,0.1220843259655956,0.09315265481453991,0.09784970535186632,0.09964768588086544,0.5742460192408103
53,Burkina Faso,-0.04339276588528279,-0.0874557523962404,-0.0603572812592069,-0.034342357097050684,-0.05172436278331135,-0.03522262472171743,0.002630075067005298,0.08212062334051626,0.09644491087200156,0.08953346884051136,-0.03931144559990102,0.08532441890503066,0.09975342622437028,0.009173857447872674,0.07300387379083911,0.09907831280984244,0.09964768588086544,0.2241226520106715
117,Burundi,-0.11794015646374587,-0.08715338169027975,-0.11761211101316658,-0.07384329191898574,-0.09199118917829839,-0.10417038260719724,0.0008836427229128928,0.0804846925287797,0.08855544574251138,0.09494443199577418,-0.08890197757130197,0.10866920432724199,0.09086124590606857,0.008214869769095991,0.07489154913740736,0.09147697238753048,0.09964768588086544,0.21296035285176323
113,Cameroon,-0.10962557997069702,-0.1176907022867249,-0.08274018576687645,-0.09049795953804515,-0.08508681846962181,-0.09436934522830513,0.005592507853198739,0.10855830625231928,0.08855544574251138,0.09300818213124114,-0.09248228740393272,0.11040887687883205,0.09803353935321425,0.0294188032629627,0.0737244178595093,0.09878058776573602,0.07105313254113882,0.24518745349637394
8,Canada,0.17046131046399196,0.13060709244442936,0.17913841567926989,0.1852043730784909,0.17881902535065666,0.14112220521790644,0.1746456830681997,0.05447135684058111,0.0962959963317558,0.09312859704408691,0.0039572677252528,0.08203395369613813,0.09975342622437028,0.11855958326794336,0.10232726530767558,0.0979747829450376,0.09964768588086544,0.5622978618746526
17,Chile,0.13405434971579214,0.04972240922875082,0.10579560852806452,0.1495342875307078,0.12787497732580858,0.10550679457218708,0.05026716516913727,0.03402328279964912,0.08855544574251138,0.09494443199577418,-0.03385699966568167,0.13700776028567932,0.09975342622437028,0.1496996997922727,0.09941631730803059,0.09644733021109447,0.07408588819838256,0.6876588617950402
68,China,-0.03138858391916269,-0.058062914503196755,0.03532840616428063,-0.03337343599902291,-0.037554443918520704,-0.16153326897309112,0.02617189033163592,0.14093600615100083,0.08855544574251138,0.09315351821430048,-0.01545438046623701,0.059047247070230666,0.09975342622437028,0.07667042562052313,0.09596871409057393,0.09910684136132109,0.09964768588086544,0.40092320790012986
58,Colombia,-0.03694754827616873,-0.12383957306301442,-0.014003338440139174,0.04476310238124858,-0.0238859544772595,-0.004326544988740879,0.027983597359458153,0.08538856732696332,0.0979275996608702,0.09477642417652118,-0.03946215707203916,0.10434889764817942,0.09766760722116881,0.09290709777580713,0.09512557745466474,0.05692854563166501,0.04505808405047827,0.43700705508163784
