,Country Name,ControlofCorruption,PoliticalStability,GovernmentEffectiveness,RegulatoryQuality,RuleofLaw,VoiceandAccountability,GDP per capita,GDP growth,debt index,Inflation rate,fiscal balance,trade index,unemployment,School enrollment,Life expectancy,Intentional homicides,gini index,得分,稳定系数
2,Armenia,0.001922887,-0.084478704,-0.028396328,0.026109234,-0.010328715,0.004823935,0.015988662,-0.097027782,0.095288565,0.091754634,-0.064469414,0.10193542,0.077382594,0.081414263,0.089858317,0.097961836,0.071779319,0.007164182,0.228606935
14,Belize,-0.016008496,0.057480103,-0.058837357,-0.055660948,-0.079549396,0.051725383,0.018689032,-0.18061936,0.083681392,0.087553405,-0.086853177,0.090415687,0.09335581,0.041014444,0.090706189,0.043762661,0.108432589,0.007124023,0.225829856
109,Tunisia,-0.007742048,-0.064414327,-0.016274684,-0.029936281,0.017144981,0.027766168,0.012411205,-0.116179118,0.104560651,0.096204127,-0.108016268,0.075605797,0.058813034,0.052479016,0.093741598,0.091157107,0.108432589,0.007082469,0.222956367
24,Colombia,-0.021848351,-0.073715087,0.003932328,0.024863476,-0.047469731,0.014279602,0.018832172,-0.094981455,0.081666434,0.096823851,-0.083234457,0.084774104,0.061240055,0.086897804,0.093090442,0.050594543,0,0.007078819,0.222703955
64,Sri Lanka,-0.029279037,-0.009423634,-0.004854873,-0.021856352,0.000728741,-0.00495319,0.013816943,-0.046792952,0.080698307,0.094200668,-0.1439083,0.085370187,0.10097554,0.034625592,0.095112388,0.094143021,0.108432589,0.007078322,0.222669621
59,Kazakhstan,-0.033803778,-0.028435731,0.014269787,0.012476057,-0.043990657,-0.11639665,0.032367302,-0.033690202,0.113836884,0.09190712,-0.083966239,0.096070511,0.10097554,0.113234483,0.088858549,0.094622116,0.086287905,0.007054301,0.221008552
16,Brazil,-0.038701545,-0.047908851,-0.04527344,-0.01008591,-0.020803671,0.029055123,0.024109629,-0.052269356,0.076529284,0.098648357,-0.159085608,0.084299011,0.068803344,0.087432129,0.092144211,0.051023395,0.040471318,0.007007231,0.217753646
51,India,-0.025743185,-0.08956904,0.041952829,-0.011849732,-0.003169626,0.014741966,0.006778957,-0.088889314,0.097362631,0.09239109,-0.152218216,0.076628196,0.079104093,0.047168513,0.0873396,0.095260973,0.108432589,0.006998349,0.217139412
107,Thailand,-0.043887335,-0.063875425,0.024127067,0.007946664,0.012380667,-0.079677758,0.024806701,-0.083490912,0.101846751,0.083824831,-0.056239033,0.074630843,0.08460723,0.068309557,0.09869935,0.091937773,0.108432589,0.006934598,0.212730994
94,Paraguay,-0.079665246,0.002337514,-0.055674077,-0.012997423,-0.040827244,0.004781089,0.01899587,-0.011047494,0.088807674,0.093897952,-0.085420184,0.091580301,0.10097554,0.080374417,0.091114563,0.086647169,0.081706247,0.006902082,0.210482467
