,Country Name,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,average
70,El Salvador,0.273532802,0.277107117,0.30067917,0.293234065,0.285992898,0.287725818,0.267742734,0.272269343,0.310641318,0.334359693,0.339424579,0.33337877,0.280471536,0.315444751,0.309530282,0.287055664,0.277093067,0.284451964,0.295997333,0.296112258
19,Estonia,0.733088176,0.755858902,0.755068702,0.751904444,0.716724055,0.68727287,0.653127637,0.651567435,0.667130607,0.668248632,0.662247461,0.664455843,0.618861776,0.631772001,0.573179875,0.536449718,0.525172851,0.534915063,0.533381522,0.648443556
47,Eswatini,0.128281844,0.130853284,0.127801338,0.142845567,0.127254357,0.14458679,0.148201358,0.152930592,0.143844231,0.129613961,0.12625473,0.119257611,0.161572391,0.137295322,0.121428465,0.139753094,0.141245191,0.15005887,0.147265661,0.137912877
83,Ethiopia,0.193666154,0.254814775,0.255042595,0.223063711,0.245459488,0.261676081,0.213386074,0.213593474,0.243371343,0.272292647,0.26962454,0.280618414,0.217107875,0.249501662,0.265057947,0.248769952,0.231751824,0.245132513,0.267390826,0.244806415
34,Fiji,0.255499995,0.319095658,0.317345909,0.289775521,0.31472078,0.324276943,0.293309084,0.299537668,0.323027361,0.354857279,0.365943349,0.381247016,0.363407365,0.399845296,0.392914764,0.379754125,0.371657046,0.414973806,0.447384538,0.347819658
1,Finland,0.983603942,0.967814736,0.969044719,0.982224893,0.95195151,0.918986282,0.910583237,0.876734887,0.902600071,0.86927431,0.819009648,0.787948318,0.735849492,0.747922104,0.673196523,0.656765476,0.646911028,0.642944887,0.640946903,0.825490156
16,France,0.609081494,0.634081454,0.629218107,0.612165822,0.587870501,0.563421236,0.533348121,0.531867325,0.55974036,0.555363015,0.552673443,0.559628893,0.530780396,0.558987648,0.52575587,0.514825108,0.507159542,0.500993075,0.499073827,0.556107118
81,"Gambia, The",0.17296783,0.200638118,0.248101487,0.209847572,0.200562195,0.229106344,0.200006673,0.208272583,0.219837799,0.262370494,0.238751716,0.274164073,0.21487948,0.235231365,0.253258712,0.240358222,0.225669957,0.240174005,0.264301344,0.228342104
40,Georgia,0.536775041,0.566774259,0.551972625,0.582787718,0.487874843,0.469624193,0.414417247,0.333322506,0.363723467,0.389394468,0.360149707,0.391505742,0.387211614,0.432168457,0.428068271,0.453089559,0.458160237,0.46968138,0.484621046,0.450595915
10,Germany,0.45414007,0.478288165,0.479234449,0.469868724,0.473729968,0.598017351,0.579654364,0.58315715,0.602330718,0.600148251,0.483214256,0.573644172,0.561664972,0.598497471,0.561478788,0.544251942,0.524780781,0.529143257,0.519198529,0.537602283
