Country Name,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Italy,37926765258.3334,43224525664.397,41128783442.9297,45935485810.5491,43193944550.6273,37930917191.7969,36196949383.3075,38700052902.9412,40696873362.3529,38361480817.2548,38104461731.8289
Japan,63826702874.6623,67334928823.2981,70429476440.8907,55600834051.0709,48803725389.1671,45965919991.1669,56290438046.6344,55641568300.4069,52615764504.0709,52919160446.2511,52632376366.3839
Kazakhstan,6677716399.17207,9610086699.84068,8919665353.3406,10656944886.3203,9586303383.47145,8685704531.17622,6254406125.7891,7534592225.17722,7883531695.7243,8113867034.46373,9223534719.30119
"Korea, Rep.",24528982467.1882,27686202942.3471,27948793701.5323,28773637079.4652,30527632177.7601,29372744290.6934,27887597857.8348,30054459182.8593,30122762380.736,27544594684.4638,29033968450.1576
Lebanon,1484688069.25373,1519071310.11609,1657025964.84245,1854295201.59204,1934777098.70647,1640010619.23715,1394863553.83085,1481016184.21227,1774360705.93698,1635444374.19562,976178589.750542
Malaysia,25730961472.7888,34125490196.0784,30795778295.7783,29461423720.2069,29996944605.7014,24974779157.5983,25493816744.2085,27438145288.8103,26952739709.0531,26443452021.726,27555608421.5535
Mexico,34052257755.6189,36458967504.6083,38121694977.0303,40002011744.441,41197975023.5095,37405119413.4387,36091305929.5653,39183705967.8229,41363853452.7107,43035038725.8872,41391107160.1445
Mongolia,843510498.619004,1072974987.74808,1383923136.46341,1687773785.69519,1631166360.39488,1635988259.76146,1411963458.28504,1278648794.93914,1505993230.37103,1642025364.65174,1726115437.27205
Netherlands,15070747066.6667,14293988492.2179,13921970048.4375,15708980167.8432,15508918156.0784,13200984372.6562,13850678650.9728,15473243074.1177,15087874817.2549,14889010980.3921,14548151839.6888
New Zealand,9652452428.24443,10575830994.7417,9722238442.72716,13427827560.4374,9616458811.49244,7961784549.93985,10483632376.7425,12217491962.1764,12002006561.6874,12066210985.7531,9416172534.872145
Norway,6725492899.48986,6700201806.23263,5746970348.08767,6875914893.61702,7191272150.2248,5931921049.91216,7717023809.52381,7874108402.1761,8141284967.7221,7467613636.36364,6539091955.04027
Pakistan,41246976135.6026,53672771298.9182,53201914477.565,55104278218.4763,58022369257.8047,64438524763.9056,70028310503.1583,74500419799.2596,77106160166.6968,66357251243.936,65655423445.5128
Philippines,28648335067.624,33014598183.9213,34300604504.5088,35412394178.9842,36506196960.4822,33698347264.3442,32516260990.6827,33449056031.6009,33470748909.0681,33237033123.51,36845476355.8049
Poland,13959473352.5686,16763196975.8337,14898510670.9658,16742707080.934,16135045173.5616,11942432683.3798,12433803388.4549,15793665493.6099,14216850790.4865,14123300515.7056,15398876836.6797
Portugal,4612444032.40001,4495503227.39301,4160387259.80156,4744882319.15139,4773020347.37214,4186166617.53164,4264374128.60196,4639370136.80471,4934779029.02902,5012243373.28627,4979014448.09184
Russian Federation,50991688526.3716,64461504378.4864,64615416208.9248,68627490292.7716,69202998504.3593,52809046252.1559,49031394263.592,55941254578.1142,56253967544.8913,59772049498.2058,59563310376.9647
Saudi Arabia,13946133333.3333,14575466666.6667,15303466666.6667,16107466666.6667,16843733333.3333,17137866666.6667,17320595986.872,17410713878.0255,17464867479.4225,17654288819.5188,17878943018.419
Singapore,86688668.8668867,96676737.1601208,98183564.0553733,105730040.757612,108752268.960619,100450974.687227,100760043.431053,105583315.229198,113582443.653618,121243219.469286,114517648.764224
South Africa,8797168893.07764,9365149068.32298,8586837257.45746,7724469130.17347,8103329441.92394,7745421796.45039,7811956311.86773,9512565346.39335,9158617157.11408,7623533067.45003,8510174840.98359
Spain,34573364950.0001,35141302315.1752,31903872300.0,35536454375.2942,34778822032.5489,32704001964.0625,34838668573.5409,36600540436.4706,39185251589.8039,34424960650.9803,36663352901.1674
Sweden,8177981597.70304,9590141591.93004,8547729101.24811,8606270163.38982,8399476153.23902,7321774200.63943,7212690972.40809,7809812476.96453,7736308100.97036,7432269496.64138,7272285847.66434
Switzerland,3970026451.51845,4844413736.37142,4355933241.96869,4679044556.99742,5150264264.81759,4348277422.08759,4526424166.86184,4389035823.39649,4670853714.65581,4672636160.0966,5181051473.00308
Thailand,35891648282.9794,42984582689.7156,45735496137.7726,47591030397.7088,41096158227.5753,35605923901.4591,35045500390.9747,38363249046.8418,41563097721.4626,44211372215.5658,43460728517.2415
Turkiye,69672368046.3136,68560100776.1194,67757735244.9889,63942630055.6781,61569334841.2154,59364513088.2353,53419081686.0369,51871604287.1632,44964632052.0255,48702009887.5533,48030011685.6433
Ukraine,10452643782.4487,13801019127.4662,14171568014.0158,16558738896.5345,13556748298.5185,10977765773.849,10946644593.4258,11408187512.6896,13271741328.2844,13795887888.0738,14581359547.4358
United Arab Emirates,2212294758.33901,2356202641.25255,2415136179.66089,2534073650.49078,2603546715.00292,2679578389.16724,2772601295.99295,2974791440.34116,3038302971.22739,3121180251.19485,3368537938.50532
United Kingdom,14736255205.6498,18180191633.4118,17050866981.4283,17640605650.7339,22840749218.2058,18473888200.6193,15477270586.0584,15896986741.0357,16317101948.0858,17271152537.7878,17411547910.7151
United States,154919659000.0,187283956000.0,186811721000.0,222512729000.0,205705398000.0,188238199000.0,176228444000.0,184424799000.0,185598437000.0,179346384000.0,199831763000.0
