,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
Unnamed: 0,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
Country Name,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国
Country Code,CHN,CHN,CHN,CHN,CHN,CHN,CHN,CHN,CHN,CHN,CHN,CHN,CHN,CHN,CHN,CHN,CHN,CHN,CHN,CHN,CHN,CHN,CHN
Indicator Name,总失业人数（占劳动力总数的比例）（模拟劳工组织估计）,按消费者价格指数衡量的通货膨胀（年通胀率）,法律权利力度指数（0=弱，12=强）,城镇人口（占总人口比例）,入学率，高等院校（占总人数的百分比）,按来源国家或地区划分的难民人数,贫困人口比例，按每天1.90美元衡量的（2011 PPP）（占人口的百分比）,最高10% 占有的收入份额,Poverty gap at $6.85 a day (2017 PPP) (%),Out-of-pocket expenditure per capita (current US$),能源部门的一氧化二氮排放量（千公吨二氧化碳当量）,死亡率，婴幼儿（每千例活产儿）,Military expenditure (current USD),识字率，成人总体（占 15 岁以上人口的百分比）,出生时的预期寿命，总体（岁）,国际谋杀犯罪率（每10万人）,Increase in poverty gap at $1.90 ($ 2011 PPP) poverty line due to out-of-pocket health care expenditure (% of poverty line),最低20% 占有的收入份额,最高20% 占有的收入份额,资本形成总额（现价美元）,人均 GDP（现价美元）,Current health expenditure per capita (current US$),能源使用量(人均千克石油当量）
Indicator Code,SL.UEM.TOTL.ZS,FP.CPI.TOTL.ZG,IC.LGL.CRED.XQ,SP.URB.TOTL.IN.ZS,SE.TER.ENRR,SM.POP.REFG.OR,SI.POV.DDAY,SI.DST.10TH.10,SI.POV.UMIC.GP,SH.XPD.OOPC.PC.CD,EN.ATM.NOXE.EG.KT.CE,SP.DYN.IMRT.IN,MS.MIL.XPND.CD,SE.ADT.LITR.ZS,SP.DYN.LE00.IN,VC.IHR.PSRC.P5,SH.UHC.NOP1.ZG,SI.DST.FRST.20,SI.DST.05TH.20,NE.GDI.TOTL.CD,NY.GDP.PCAP.CD,SH.XPD.CHEX.PC.CD,EG.USE.PCAP.KG.OE
1995,3.0,16.7912251650917,3.0,30.961,4.39014005661011,104691.0,20.36470588235294,29.817647058823525,31.97647058823529,88.339450638,24240.0,38.4,12385129474.9875,91.56412811279296,70.008,2.20449248281803,0.712411105632782,6.329411764705884,45.835294117647045,285281654509.203,609.656679202484,222.365779114,866.834374260803
1996,3.11999988555908,8.31316028893904,3.0,31.916,4.91531991958618,105806.0,48.1,27.3,61.1,88.339450638,24730.0,36.9,14275400819.9732,91.56412811279296,70.266,2.03022255561552,0.9982041642069802,7.4,42.9,324265378237.233,709.413755085039,222.365779114,881.653737423514
1997,3.23000001907349,2.78646505531886,3.0,32.883,5.35011005401611,106731.0,20.36470588235294,29.817647058823525,31.97647058823529,88.339450638,24640.0,35.4,15699586768.5755,91.56412811279296,70.672,2.065775141032,0.9982041642069802,6.329411764705884,45.835294117647045,341590049606.746,781.744164341053,222.365779114,871.756323801394
1998,3.24000000953674,-0.773186011549305,3.0,33.867,5.86393022537231,109396.0,20.36470588235294,29.817647058823525,31.97647058823529,88.339450638,24960.0,33.7,17031780199.6918,91.56412811279296,71.172,1.2406103427223332,0.9982041642069802,6.329411764705884,45.835294117647045,358247795046.563,828.580479295681,222.365779114,869.358607334522
1999,3.25,-1.40147268276465,3.0,34.865,6.39427995681763,111950.0,46.0,29.4,58.5,88.339450638,24480.0,31.9,20473915094.7667,91.56412811279296,71.419,1.2406103427223332,0.9982041642069802,6.5,45.6,373159283362.526,873.28706172579,222.365779114,878.52453551629
2000,3.25999999046326,0.347811226864599,3.0,35.877,7.59041023254395,110967.0,20.36470588235294,29.817647058823525,31.97647058823529,25.32022551,27070.0,29.9,22237140151.2145,90.9202117919922,71.881,1.2406103427223332,1.53180621564388,6.329411764705884,45.835294117647045,406685829690.52,959.372483639691,42.11240387,898.987313140273
2001,3.79999995231628,0.719125609120107,3.0,37.093,9.78911018371582,117403.0,20.36470588235294,29.817647058823525,31.97647058823529,28.02834033,27370.0,27.8,26561462998.2924,91.56412811279296,72.606,1.2406103427223332,0.9982041642069802,6.329411764705884,45.835294117647045,476042624879.487,1053.10824300452,43.66367722,928.811433738255
2002,4.23999977111816,-0.731970902350276,3.0,38.425,12.6284799575806,132099.0,36.5,31.4,51.0,30.88593902,28690.0,25.6,30284127409.9972,91.56412811279296,72.985,2.00986382051266,1.49026364088058,5.7,47.9,531654468006.524,1148.5082904417,49.14166641,984.810714620431
2003,4.57999992370605,1.12760348729636,3.0,39.776,15.4526796340942,132390.0,20.36470588235294,29.817647058823525,31.97647058823529,33.79009923,31490.0,23.4,33144000481.4458,91.56412811279296,73.371,1.85455292957088,0.9982041642069802,6.329411764705884,45.835294117647045,657808260134.107,1288.64325183381,55.6510849,1118.43177274138
2004,4.48999977111816,3.82463743108159,3.0,41.144,17.6912593841553,134708.0,20.36470588235294,29.817647058823525,31.97647058823529,37.17823085,34990.0,21.4,37904571826.996,91.56412811279296,73.748,1.8676809685189,0.9982041642069802,6.329411764705884,45.835294117647045,818257918295.718,1508.66809788266,63.26198578,1268.13290434581
2005,4.51999998092651,1.77641407667574,3.0,42.522,19.0869998931885,124086.0,22.1,30.9,40.8,41.45857605,37960.0,19.4,42789953650.9024,91.56412811279296,74.111,1.56074306037803,0.9982041642069802,5.9,47.1,922299217521.936,1753.41782925823,71.86441803,1393.69132405731
2006,4.42999982833862,1.64943099455862,3.0,43.868,20.2191905975342,140584.0,20.36470588235294,29.817647058823525,31.97647058823529,45.48061099,40530.0,17.7,51453373233.8486,91.56412811279296,74.504,1.34286341324616,0.9982041642069802,6.329411764705884,45.835294117647045,1098385112130.33,2099.22943460447,81.22816467,1515.1736777471
2007,4.34999990463257,4.81676767378831,3.0,45.199,20.52121925354,149087.0,20.36470588235294,29.817647058823525,31.97647058823529,49.79314646,42180.0,16.2,62136590754.5887,91.56412811279296,74.762,1.19755372649013,0.874219834804535,6.329411764705884,45.835294117647045,1437256498446.27,2693.97006340526,97.07929993,1630.17102857988
2008,4.59000015258789,5.92525137041095,3.0,46.539,20.6841201782227,175169.0,18.0,32.0,34.3,62.4726956,43190.0,14.8,78840802819.8629,91.56412811279296,74.872,1.09421793405094,0.9982041642069802,5.2,48.4,1941968871515.54,3468.30460207434,131.88728333,1672.90411994066
2009,4.71999979019165,-0.728165250932952,3.0,47.88,22.4430599212646,180546.0,20.36470588235294,29.817647058823525,31.97647058823529,70.66743859,44510.0,13.6,96601666752.9542,91.56412811279296,75.343,1.07752935764256,0.9982041642069802,6.329411764705884,45.835294117647045,2313940477177.45,3832.23643246702,162.61755371,1778.43351862146
2010,4.53000020980835,3.17532475269199,3.0,49.226,24.1984901428223,184601.0,13.9,32.6,29.3,76.08855673,47180.0,12.5,105522648101.838,95.1244812011719,75.599,0.979682650091451,0.9982041642069802,5.1,49.0,2833949430554.04,4550.4531077571,186.49150085,1954.72255616896
