,Country Name,ControlofCorruption,PoliticalStability,GovernmentEffectiveness,RegulatoryQuality,RuleofLaw,VoiceandAccountability,GDP per capita,GDP growth,debt index,Inflation rate,fiscal balance,trade index,unemployment,School enrollment,Life expectancy,Intentional homicides,gini index,得分
79,Benin,-0.07190327697537553,0.07926974048023856,-0.05443105732739444,-0.058157935176494625,-0.02486767286953727,0.005010485354336949,0.0039049914541251225,0.07773737593227671,0.08630419355578518,0.09609123855688954,-0.06850882960515563,0.0826535758059768,0.0904788101327684,0.013096004753668025,0.07490776605546944,0.10011539228665209,0.10191926889510015,0.38105298384690134
20,Bhutan,0.04065663624774659,0.06693417115453841,0.05366608288682067,-0.051529545564511725,0.00662318240091544,-0.12706228068129663,0.005821530143487401,0.18404166793006413,0.08301423750030651,0.09600350770939571,-0.09575717334244115,0.09843378104991182,0.0958114476932353,0.007548198275801242,0.08479560176133927,0.09763226208329912,0.09758666839551088,0.4629726692360446
92,Bolivia,-0.0850148060861592,-0.027646471070104626,-0.030967093001893684,-0.009126458520116268,-0.03608423830613624,0.013823236600712897,0.0061455287309804514,0.04161535073698045,0.08630419355578518,0.09204040204167116,-0.18080370746156355,0.08884675296598757,0.09733357922716371,0.07787704430225069,0.0837739998923709,0.0849164114044471,0.02228194542645916,0.3657080163213762
64,Bosnia and Herzegovina,-0.03501980929238606,-0.015808993651425216,-0.10127096673431508,-0.061508821553208075,-0.06260428279982184,-0.00857190393614115,0.01108919707889157,0.08417353473549753,0.07644551920046802,0.09417098094056081,-0.061627856999676836,0.09307397242877158,0.05099658273338098,0.057446740606832226,0.09873543866252137,0.09864779192024686,0.10191926889510015,0.3194665642858727
24,Botswana,0.05643549893806895,0.08426306591791066,0.050709374181085766,0.0912058215422622,0.05334869212281044,0.06567378615518747,0.02096336156486493,0.10162099216228157,0.12500233392691268,0.08954628333932994,-0.08275827946497293,0.0903166411268452,0.06962457380121984,0.020360508171171764,0.06700226143731279,0.08016218426734634,0.0,0.6366627932809016
49,Brazil,0.007404606797282987,0.03163011693114643,-0.0032702357357278352,0.01849810562265964,-0.0254433920423052,0.046504688311917355,0.019544221596739634,0.051123526640870255,0.08976981596282212,0.08846313596550012,-0.09092952526254622,0.09080660900262089,0.09186633066858649,0.05092808154713499,0.09317485439645272,0.061436159555779066,0.027233488854561182,0.47922993030957317
51,Bulgaria,-0.01553637670223184,0.045111221896743374,0.016400273955466758,0.05346571332819233,-0.0053489925302818665,0.052048287969689744,0.014481369356759241,0.09831262249552107,0.08926015077634085,0.0953144834786264,-0.012638955557017927,0.09231689585834482,0.07639650379396991,0.10060339838942359,0.09510141245344807,0.09740068424179905,0.10191926889510015,0.5078067105000298
53,Burkina Faso,0.010872519255124313,-0.029615456747217134,-0.07996699430522776,-0.013962953313539236,-0.07633157259114867,-0.03819110105228211,0.0019840757567806504,0.07288083906266,0.08282512659793419,0.09527773164417275,-0.09119617398797303,0.08484727179249703,0.09478633871016905,0.003474120424713681,0.06784918526650935,0.10123633152790464,0.09882455425253638,0.35250740889346494
117,Burundi,-0.06866706424796631,-0.22046234789460734,-0.14195674768772548,-0.12303480679049313,-0.13341487253924628,-0.11471525009143373,0.0008589313676025541,0.07444722224006294,0.08630419355578518,0.08608720156374637,-0.11071109358171821,0.07719414476713321,0.09733357922716371,0.00463232454883093,0.06602168244132116,0.09142805535873627,0.10191926889510015,0.11527238241368538
113,Cameroon,-0.10925977299919662,-0.06535066268324924,-0.08608402524930217,-0.10376786048654112,-0.12075799811077277,-0.10803433447059295,0.0053987648922471185,0.07495800207546406,0.08630419355578518,0.09698725346688368,0.030997168043979326,0.09564621525505002,0.09733357922716371,0.012513384528862016,0.07068505677583471,0.09289715202080817,0.07489209435004325,0.18145427491726782
8,Canada,0.1791216828722045,0.11753036887690509,0.1758017314060774,0.1554199066698523,0.15855122863914414,0.1476226529563353,0.1678249483289518,0.050530641245427166,0.08791623024769454,0.09549235257809452,-0.0048121455120894805,0.08745831996276489,0.09733357922716371,0.14653276057141976,0.10519090898055693,0.09942357356725735,0.10191926889510015,0.9123990327829015
17,Chile,0.13366278404688944,0.10506018283169158,0.10188852553770043,0.13359300778302327,0.11998160131130348,0.10706319261058506,0.03099167965575974,0.05362385202910396,0.08630419355578518,0.09609185053313182,-0.02409028437671521,0.08892263280285465,0.0928396669992992,0.09936314684730597,0.10248439992519927,0.09234393814824718,0.05714906373267761,0.7937599429978808
68,China,-0.050413663263497464,-0.03161341493107475,-0.011629434156700718,-0.059047146075095286,-0.04934145903558505,-0.15699170319477906,0.007946635904046111,0.15292262965202402,0.08630419355578518,0.08773179532880938,-0.059325738343797264,0.08500252190508102,0.09733357922716371,0.03107627262188401,0.09658239949048575,0.09921293277095239,0.09366669651493009,0.3010598035744105
58,Colombia,-0.0238858840685782,-0.1888073620701644,-0.04609437895275559,-0.0023570680635433016,-0.07148594104764748,-0.041001727445079496,0.01675518653508046,0.04192366499828931,0.08475440958702336,0.09390954360870414,-0.0710252141833252,0.08903129347090057,0.08391397180974723,0.06257986648546336,0.09519820835714261,0.0,0.035898689853739736,0.3079506145150127
28,Costa Rica,0.04017311054186105,0.1031205090238265,0.028961938587500763,0.04472702243035751,0.05296478833014097,0.10939032894625535,0.02782461688558138,0.057208106476867436,0.08630419355578518,0.08660146270311309,-0.10271360355851401,0.09225915876220893,0.09733357922716371,0.05675397402860322,0.10319634526911764,0.09291423315912793,0.05322909185209686,0.6106283707686346
41,Croatia,0.02033287344607677,0.060674939635126886,0.03104172439425417,0.029817220756053277,-0.013817955754152265,0.05482335286001172,0.04356064030982478,0.0964977642723423,0.08691478971212273,0.0939699898276718,-0.0670350586769264,0.08992583308660666,0.08273354194961298,0.09331411266762964,0.09887480668784038,0.09972665050254158,0.10191926889510015,0.5273764052131997
23,Cyprus,0.1017751604810213,0.019242500474876044,0.12237517155596672,0.12091691707653882,0.09443941340881648,0.11001077974093833,0.11135045342952787,0.06233274707474496,0.08630419355578518,0.09690091795543022,-0.08498399359711327,0.09453560933895354,0.09596676708544848,0.06177193019931552,0.1025399793014903,0.10186862452666827,0.10191926889510015,0.7352617018369298
0,Denmark,0.20879887517261614,0.1470774187507438,0.19121862868232806,0.17339967778762844,0.17963654659294906,0.15095256873121915,0.22991242764952882,0.007807934509677579,0.08630419355578518,0.0959232631485987,-0.0003165725170259845,0.09327567475327664,0.09733357922716371,0.1562819256109086,0.1017567361381725,0.10085546343619693,0.0928414392769131,0.9705985388865709
82,Djibouti,-0.05678215334617058,-0.030211943227107192,-0.07224663599632865,-0.0678043987013225,-0.0896598221314213,-0.08182337846265536,0.00518296563265205,0.0926436776190147,0.08630419355578518,0.0912861387071133,-0.09399125540089288,0.0927071999648364,0.05099658273338098,0.002483497307601767,0.07571366701168929,0.08901895878822626,0.10191926889510015,0.2654385406369616
98,Dominican Republic,-0.04273952210605194,0.011439999208448511,-0.0365603505819198,-0.026032068155729865,-0.06730137771168104,0.023363847941530125,0.021349038711471237,0.07526065468916572,0.08630419355578518,0.09683727683286072,-0.03722519997691432,0.09429158850254352,0.09733357922716371,0.06174170096153788,0.09253039829517347,0.08060372410451225,0.06189429285127539,0.37872137686240775
90,Ecuador,-0.07845924082780809,-0.07330702108534046,-0.07852609499707833,-0.0738653983402794,-0.0721961838254332,-0.004430368957504465,0.01511274733621628,0.06859154636261725,0.08630419355578518,0.07799452991095197,0.014390553990979849,0.09197777332588195,0.09733357922716371,0.06677206236391194,0.09741344349788487,0.08083553180109043,0.07798680899260702,0.27664150746454386
84,"Egypt, Arab Rep.",-0.03977425955654909,-0.039964311816926654,-0.04214450544309078,-0.04629450448854703,-0.0010944271420977503,-0.10855045712074682,0.00791912633672918,0.040018727904658394,0.05585347416278067,0.0967350426788811,-0.13923971359772602,0.0859284240970259,0.093171015043476,0.07578931369069951,0.09073200847661389,0.10070863344255969,0.10191926889510015,0.33371282608533
70,El Salvador,-0.07347877398419231,0.02836809305821553,-0.05761530037191173,-0.01720516753124193,-0.05406453783995161,0.012027090907249497,0.01457672674250043,0.026335072089808047,0.07786014504325003,0.09447278307953125,-0.11323915565121244,0.09134031191033933,0.09733357922716371,0.05243894843709475,0.09293930370645742,0.03221530246941273,0.05281646323308835,0.365704016016872
19,Estonia,0.06679601618876213,0.08953056509053112,0.0630976316032455,0.12798418692445482,0.07556708682136531,0.10566126186046725,0.036959228545335295,0.11337171536763888,0.14700467008180532,0.09741695778407881,0.008261491630045354,0.09182810659951587,0.09312959753458762,0.15143129463383925,0.0938297356669079,0.08706157241302175,0.10191926889510015,0.690833955836453
47,Eswatini,-0.0054344636951043,0.012193335042141882,-0.04706409050027954,-0.026307299087312396,-0.07463072582177253,-0.13807947214791896,0.009430562441593966,0.07333515948627393,0.08630419355578518,0.0791994832908337,-0.07557850230096147,0.0975312329221998,0.04635770425418185,0.011038153947528098,0.058869146040059585,0.08282463960057461,0.0313597750446462,0.33405295437786386
83,Ethiopia,-0.06487288992873545,-0.11828433943523316,-0.09866734275463414,-0.12490793661643249,-0.09154884658366114,-0.1207460612604406,0.0007642890874417274,0.025360762164444644,0.08528090817407749,0.09138337919184243,-0.11859262652425472,0.0861656660242021,0.09526265200956448,0.004058242606535192,0.06817339829487366,0.09161773158487747,0.10191926889510015,0.17127666967712127
34,Fiji,0.05520101168129138,0.04573153920857081,0.02848354022497911,0.015189802147853601,0.0006592445872908093,0.002821435449313344,0.014925014015833675,0.05357697181418771,0.08630419355578518,0.09160901249566444,-0.07375709887011288,0.09163681536830312,0.09733357922716371,0.03375236471428544,0.08700554362814904,0.09834068879607744,0.10191926889510015,0.5258114587977428
