"Data Source","World Development Indicators",

"Last Updated Date","2022-12-22",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021",
"Bahamas, The","BHS","Adjusted savings: mineral depletion (current US$)","NY.ADJ.DMIN.CD","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","",
"Bosnia and Herzegovina","BIH","Adjusted savings: mineral depletion (current US$)","NY.ADJ.DMIN.CD","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","561631.346846039","317290.750530736","377133.286960255","138899.820033214","117891.268408678","86818.327717942","266075.36439256","216525.215244712","374737.5945495","208140.553864505","113281.728382952","125703.860232083","489777.476968485","7461934.4575032","8026372.24842226","15969109.882094","16545396.2441258","6079937.16666289","16487511.5255977","29779090.8541784","27043071.3074888","28103331.8228856","18037931.785159","9718374.41208415","13444082.6046186","19728669.2454791","16560037.1242541","5292817.71042797","4159762.20179904","",
"Belarus","BLR","Adjusted savings: mineral depletion (current US$)","NY.ADJ.DMIN.CD","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","",
"Belize","BLZ","Adjusted savings: mineral depletion (current US$)","NY.ADJ.DMIN.CD","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4809.39732376472","6507.72541273085","9990.44432129517","550.637927684752","1534.8515443492","2211.9184857676","0","0","38909.6836289678","40594.3071822664","47590.8939907553","57169.212400522","0","0","0","0","0","0","0","0","0","0","0","",
"Bermuda","BMU","Adjusted savings: mineral depletion (current US$)","NY.ADJ.DMIN.CD","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","",
"Bolivia","BOL","Adjusted savings: mineral depletion (current US$)","NY.ADJ.DMIN.CD","","","","","","","","","","","5506677.6841839","2745985.81816253","3826846.51510248","24221953.1491739","59626347.846484","9613335.97806365","8416906.09765011","51904476.0306448","61094333.8218102","83444156.6526739","122241596.870976","43370877.7213983","28942435.0298824","33449444.8107925","24844058.8806739","11410331.6412522","1168240.37487177","7901993.8783977","62276002.6927671","99999067.819931","77691484.0878093","41536434.0072469","37901334.0718487","13846017.5506795","75984063.3736586","103294346.497658","81571774.992234","78357070.4483013","11587850.2227903","12845738.5588781","17166443.4713861","6828815.40170968","17276845.8742607","13288636.9400055","33990516.7459441","62819854.7672121","312403624.735863","437262950.481579","415442871.618909","212056779.886596","474051283.155808","903386161.962628","642101469.345267","586065576.031034","545455007.569165","38950126.5567585","187105239.853553","668724864.422297","385932348.689532","178597967.625136","177326960.4655","",
"Brazil","BRA","Adjusted savings: mineral depletion (current US$)","NY.ADJ.DMIN.CD","","","","","","","","","","","75166214.7973785","70210703.904333","96725988.0018936","118248017.282427","228598665.196137","300866093.483568","477422062.660077","390637706.775902","354304208.466227","453382832.127195","631103859.613349","612097244.123989","668942961.846356","718409331.042674","682364940.0714","700995293.011896","659408033.343686","708031595.838668","821633238.629834","960005519.529631","1086119629.65238","875042384.93805","822293350.131207","570174271.648548","636130379.468881","647609022.600843","605686765.930098","604309824.635449","1293194383.97534","1075845218.95412","1015892190.01077","1259381839.51987","1194885400.04879","381749238.477308","281122074.684573","2320055329.70121","4417144515.81094","10215264799.456","15130391964.2901","3003475069.89473","11884683208.4966","16579108603.4285","10745352971.4387","11079257759.57","8460725570.43937","4508443236.91678","5801657173.37731","6397443270.10222","6434129090.18358","5754480477.6465","5181368115.01345","",
"Barbados","BRB","Adjusted savings: mineral depletion (current US$)","NY.ADJ.DMIN.CD","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","",
"Brunei Darussalam","BRN","Adjusted savings: mineral depletion (current US$)","NY.ADJ.DMIN.CD","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","",
"Bhutan","BTN","Adjusted savings: mineral depletion (current US$)","NY.ADJ.DMIN.CD","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","23425.559600384","38601.2975484078","0","0","0","0","0","70053.0965689347","395187.684828138","227150.244276539","229299.605395349","173530.775186534","235387.857113411","294630.708214813","454083.983883907","304044.30405864","",
