,Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
39,Chile,CHL,GDP per capita (current US$),NY.GDP.PCAP.CD,504.8011378,554.4846173,638.2507821,654.8271223,677.8829058,669.9985136,771.9834088,751.9831168,755.1056678,867.5262669,929.3139241,1090.114452,1168.351259,1633.344901,1547.866131,716.4053897,957.1541542,1272.841417,1435.652316,1928.79145,2531.573261,2965.37426,2144.915565,1699.656589,1615.320908,1436.176916,1509.532606,1750.632095,2015.749007,2276.376909,2481.766875,2789.776373,3335.026633,3521.675508,4011.662311,5094.548284,5376.105965,5788.859948,5467.54118,4981.158471,5097.114937,4606.878472,4479.153372,4824.203098,6185.506335,7561.830548,9418.062718,10461.36542,10783.17156,10182.86047,12767.78121,14628.57246,15406.49294,15833.2752,14666.34353,13569.9478,13785.68833,15045.52768,15795.70846,14631.94688,13094.45953,16265.09598
40,China,CHN,GDP per capita (current US$),NY.GDP.PCAP.CD,89.52054151,75.80583793,70.90941167,74.31364345,85.49855516,98.48677775,104.3245662,96.58953194,91.47271831,100.1299033,113.1629916,118.6545778,131.8835612,157.0903743,160.1400937,178.3418196,165.4055404,185.4228329,156.3963885,183.9831522,194.8047222,197.0714745,203.3349195,225.4319289,250.713969,294.4588485,281.9281209,251.811957,283.5376952,310.8819124,317.884673,333.1421454,366.4606923,377.3898395,473.4922787,609.6566792,709.4137551,781.7441643,828.5804793,873.2870617,959.3724836,1053.108243,1148.50829,1288.643252,1508.668098,1753.417829,2099.229435,2693.970063,3468.304602,3832.236432,4550.453108,5614.352135,6300.615118,7020.338485,7636.116601,8016.431435,8094.363367,8816.986905,9905.342004,10143.8382,10408.66976,12556.33312
42,Cameroon,CMR,GDP per capita (current US$),NY.GDP.PCAP.CD,120.0181942,125.5255869,130.8952749,132.3480876,139.7805817,143.0704876,145.9989678,156.6797947,170.7455914,175.0732996,178.4061905,186.6419008,220.0248316,271.6785226,299.8618629,386.2209432,381.4265924,435.3905397,581.8906039,718.0314824,783.4099785,748.7712688,730.7687906,743.474139,768.9839227,871.5410468,1172.490261,1250.697446,1137.225254,993.0873564,1077.333497,1005.304395,995.3144963,1295.916368,692.8587285,822.3632555,817.1841421,773.9271096,789.2742585,786.8459508,700.1632136,706.9842108,780.2705836,976.5193473,1119.98093,1129.3579,1177.968662,1311.003014,1476.009215,1445.86032,1383.813759,1497.926667,1433.724035,1559.139125,1631.714084,1399.675331,1426.065517,1479.862349,1594.05999,1538.687947,1539.130559,1666.932734
45,Colombia,COL,GDP per capita (current US$),NY.GDP.PCAP.CD,256.9628473,280.5791374,296.8941489,280.9934943,336.7220688,315.2123295,288.5758901,301.1363825,299.9226051,316.3050073,344.3325998,365.3459511,395.9876223,460.6007113,540.2261889,559.6814415,641.5507204,796.5561923,930.4062021,1092.304564,1275.996593,1358.485452,1421.921688,1381.120048,1333.370911,1189.869126,1166.300797,1188.551777,1254.531546,1238.603367,1467.547436,1477.958576,1721.29168,1919.610386,2314.844417,2571.782586,2652.287331,2860.121815,2594.419825,2233.668135,2547.143528,2465.285852,2421.587055,2305.083058,2811.197871,3448.980365,3778.52666,4760.98121,5527.449953,5244.353266,6394.198705,7392.452361,8101.829092,8264.126896,8164.714495,6228.426299,5938.463856,6450.319585,6782.03792,6438.060183,5307.215228,6104.136709
48,Costa Rica,CRI,GDP per capita (current US$),NY.GDP.PCAP.CD,376.9687856,351.2010859,331.1462142,341.5761929,349.9013435,369.9805597,391.211288,409.9831184,440.6006687,472.6718324,530.7063376,565.2903786,633.19966,762.0777428,809.6960522,928.5050859,1113.036426,1380.475197,1541.069635,1717.784647,2001.176738,1057.417935,1021.891835,1199.897696,1357.642778,1414.128192,1551.691775,1549.941803,1537.461223,1705.431654,1808.495959,2221.474653,2578.02567,2814.043888,3005.539686,3240.711145,3194.112988,3373.410585,3580.933885,3653.754208,3773.033793,3941.598643,4021.425361,4123.506487,4376.080428,4643.45857,5188.361792,6055.086779,6841.91146,6737.860245,8147.243985,9137.455823,9971.650902,10633.26725,10737.67888,11529.95453,11899.81326,12118.13341,12383.14997,12669.34107,12132.87688,12472.44373
53,Cyprus,CYP,GDP per capita (current US$),NY.GDP.PCAP.CD,,,,,,,,,,,,,,,,976.3342285,1157.411621,1476.271484,1929.403564,2559.259766,4232.022949,4033.240479,4122.784668,4091.048584,4258.743652,4488.287109,5642.631348,6690.578125,7645.629883,8038.914063,9641.575195,9696.099609,11310.07227,10526.1416,11617.69238,15261.41016,15139.22656,14234.24414,15092.82617,15287.91895,14388.34766,14821.44727,16093.21484,20252.23828,23792.62109,24959.25977,26729.32422,31244.92578,35397.36328,32109.24219,31105.39844,32486.42969,28993.34961,27799.11914,27245.36523,23487.125,24715.73047,26697.17188,29418.93555,29417.13867,28036.18945,31551.81641
55,Germany,DEU,GDP per capita (current US$),NY.GDP.PCAP.CD,,,,,,,,,,,2761.166833,3192.133616,3809.981445,5046.755103,5639.077621,6236.358881,6634.856899,7682.953775,9482.04285,11281.02332,12138.3081,10209.07312,9913.737642,9864.34494,9313.169412,9429.569217,13461.831,16677.51079,17931.28232,17764.37645,22303.96133,23357.75773,26438.23039,25522.62957,27076.60675,31658.34938,30485.86655,26964.04947,27289.05936,26734.94254,23694.76048,23628.32721,25197.2656,30310.3576,34106.65812,34520.23965,36353.88033,41640.08087,45612.71062,41650.36783,41572.45595,46705.8958,43855.85447,46298.92292,48023.86998,41103.25644,42136.12079,44652.58917,47939.27829,46793.68676,46772.82535,51203.55447
56,Djibouti,DJI,GDP per capita (current US$),NY.GDP.PCAP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,850.9654836,,825.5468795,820.5767723,785.2944654,783.6958542,735.7303869,767.1062359,762.4751841,788.6244733,790.5161067,766.315697,752.7494467,740.0389531,745.2067822,742.8656972,747.7791229,749.0816325,771.3742316,813.8979436,852.8901883,907.8179438,980.0310324,1131.635726,1164.251683,1227.820853,1322.726251,1418.460858,2102.197948,2239.114538,2409.311902,2545.738799,2655.73322,2755.838293,2876.043664,2917.996281,3150.436729
58,Denmark,DNK,GDP per capita (current US$),NY.GDP.PCAP.CD,,,,,,,2487.136181,2700.74629,2776.13539,3151.133161,3464.455156,3845.506089,4654.298936,6119.370222,6770.750027,7999.112667,8787.589722,9783.852022,11826.01861,13751.99895,13883.88714,12081.80105,11804.43289,11857.89214,11562.91908,12253.10021,17201.08881,21340.72786,22527.04673,21901.05475,26891.44645,27011.37746,29569.66036,27597.97523,29995.57962,35351.36546,35650.71409,32835.93994,33368.14242,33440.79481,30743.54768,30751.65435,33228.69354,40458.7774,46511.59833,48799.8256,52026.99951,58487.05497,64322.0635,58163.27688,58041.39844,61753.64713,58507.50805,61191.1937,62548.98473,53254.85637,54663.99837,57610.09818,61591.92887,59592.98069,60915.4244,68007.75667
59,Dominican Republic,DOM,GDP per capita (current US$),NY.GDP.PCAP.CD,203.8797509,191.9074408,234.0419248,258.7602227,273.32472,229.5596054,246.7714549,251.8425784,255.0535031,282.6815997,331.8907091,362.2951315,420.6314721,483.346021,587.6572888,704.8336683,754.7774557,854.9928668,861.5138033,977.4143136,1174.693353,1284.789552,1374.468639,1499.964293,1845.560023,786.0317425,934.0699645,870.645582,786.3845693,957.9600927,992.2389642,1349.815273,1562.522047,1726.625479,1896.017157,2114.0906,2276.707061,2456.109618,2616.74741,2631.748551,2845.839167,2953.24112,3085.525528,2399.498091,2468.437673,3903.816238,4080.050027,4676.074963,5053.324577,5002.148442,5509.566837,5859.379217,6049.471741,6171.29557,6533.66686,6838.936594,7191.076572,7513.491343,7947.158207,8173.338007,7167.919159,8476.752157
66,Ecuador,ECU,GDP per capita (current US$),NY.GDP.PCAP.CD,448.1148818,369.1145602,310.4450475,362.380504,432.958584,447.2346405,442.033326,451.2892925,443.2423905,518.9507499,463.7725954,433.6710043,487.628965,579.0921152,954.8751225,1088.081918,1244.727532,1468.874206,1545.823686,1789.231164,2197.86816,2611.254219,2324.829958,1950.060354,1874.382638,1853.092531,1613.697479,1433.332609,1309.143841,1360.487465,1458.326872,1589.752174,1657.85872,1701.159459,2001.178159,2113.263652,2142.328641,2349.218685,2293.655828,1582.758607,1451.530885,1904.81367,2184.209244,2438.343684,2703.565671,3014.310009,3340.840903,3579.032244,4260.433184,4240.702593,4640.246344,5202.656459,5678.455721,6050.354611,6374.631486,6130.586676,6079.088736,6246.404252,6321.349401,6233.258167,5645.19929,5965.132871
67,"Egypt, Arab Rep.",EGY,GDP per capita (current US$),NY.GDP.PCAP.CD,,,,,,160.5747365,166.9561122,172.9638574,178.657108,191.918574,231.2174024,242.1332786,255.971414,272.0453531,243.3132672,299.9871999,335.8463339,354.8976152,356.2506611,422.696046,495.3285356,493.0131759,600.0430521,653.9354412,697.8979337,780.5105282,802.2179694,765.6057309,644.2196325,712.914876,751.1874902,637.8975973,697.7260405,758.8296192,826.7189671,937.5431501,1031.488078,1170.804798,1239.353562,1297.57469,1398.859831,1327.096518,1144.532398,1056.937209,1016.253884,1133.105461,1332.33941,1586.472921,1941.899973,2212.218148,2509.772034,2645.622535,3059.135428,3088.890834,3196.861381,3370.382447,3331.612461,2315.896627,2407.086543,2869.576588,3398.801432,3698.834981
70,Spain,ESP,GDP per capita (current US$),NY.GDP.PCAP.CD,396.3922533,450.0532892,520.2061314,609.4873841,675.2416391,774.7616093,889.659872,968.3067818,950.5457406,1077.6787,1212.289326,1362.165524,1708.808629,2247.553377,2749.924663,3209.837445,3279.312671,3627.590663,4356.43922,5770.214614,6208.578019,5371.166436,5159.708645,4478.500286,4489.988939,4699.655764,6513.503286,8239.613802,9703.123838,10681.9712,13804.87679,14811.90282,16112.18892,13339.90856,13415.287,15471.96272,16109.0844,14730.79718,15394.35146,15720.6405,14749.68742,15369.00116,17106.68658,21510.83625,24907.00085,26429.15094,28389.07858,32591.35031,35510.72223,32169.50285,30532.48051,31677.90031,28322.94659,29077.18206,29513.65118,25754.36103,26537.15949,28185.32137,30379.72111,29581.51855,26959.67544,30103.51373
71,Estonia,EST,GDP per capita (current US$),NY.GDP.PCAP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3134.389753,3380.926302,3682.952301,4093.392477,4140.936602,4070.609024,4505.858332,5341.628947,7203.523038,8914.103557,10412.64431,12639.40007,16744.58445,18204.96648,14711.73527,14663.04461,17487.80478,17403.20533,19056.00192,20261.06673,17402.03761,18295.34293,20437.76538,23165.84948,23424.48471,23595.24368,27943.70122
72,Ethiopia,ETH,GDP per capita (current US$),NY.GDP.PCAP.CD,,,,,,,,,,,,,,,,,,,,,,204.4985927,207.1210765,224.0839262,206.5230999,235.3385474,237.5715224,245.6676284,245.0810842,248.4326848,254.2952546,269.6147631,201.7435026,164.1650535,124.5581496,133.3411006,144.0316487,140.2698555,123.8305223,118.3331279,122.9622935,119.2618573,110.4608747,117.8601647,134.5424863,160.0767918,191.7512925,240.347972,320.8610897,373.8939587,335.4384953,348.0013483,458.5509208,490.791804,557.5341484,630.3126821,705.616305,755.7517677,758.2990596,840.4494515,918.6525941,925.077428
