,Country Name,Country Code,1960 [YR1960],1961 [YR1961],1962 [YR1962],1963 [YR1963],1964 [YR1964],1965 [YR1965],1966 [YR1966],1967 [YR1967],1968 [YR1968],1969 [YR1969],1970 [YR1970],1971 [YR1971],1972 [YR1972],1973 [YR1973],1974 [YR1974],1975 [YR1975],1976 [YR1976],1977 [YR1977],1978 [YR1978],1979 [YR1979],1980 [YR1980],1981 [YR1981],1982 [YR1982],1983 [YR1983],1984 [YR1984],1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021]
42,China,CHN,,,,,,,,,,,,,,,,,,,,,117.4418605,120.2380952,117.2839506,100,96.59090909,92.55319149,85.10638298,94.50549451,90.72164948,102.173913,102.1052632,101.0309278,103.0927835,101.0416667,102.0408163,101.9417476,105.9405941,110.2040816,110.6382979,104.1237113,100,97.44044044,92.11166635,92.93084125,90.76772409,88.44255469,89.47295338,88.54620904,83.81236263,91.09617167,82.05059399,79.04874299,79.75523623,80.64771598,82.9487988,92.53344984,92.32795521,87.29397864,84.6240051,85.74895269,91.62078166,
35,Cameroon,CMR,,,,,,,,,,,,,,,,,,,,,80.20833333,70.85714286,114.5251397,88,80.39215686,77.20588235,101.9607843,89.65517241,84.67741935,66.43835616,81.25,102.5862069,64.45783133,74,84.74576271,90.4,82.25806452,87.06896552,83.48623853,70.27027027,100,97.97959845,103.6455398,106.1203495,114.7963084,123.280211,129.7430375,130.2146936,141.2929299,131.6171552,147.1956643,160.5522918,154.934923,153.0878625,155.1009432,136.3776501,132.2330646,137.5288804,147.4477463,140.0622222,124.7750431,
43,Colombia,COL,,,,,,,,,,,,,,,,,,,,,112,98.71794872,101.2345679,102.6315789,112.5,103.9473684,130.5555556,95,89.77272727,88.17204301,81.25,85.71428571,75.78947368,78.49462366,90.81632653,86.79245283,89.81481481,89.90825688,82.52427184,88.88888889,100,96.68283884,96.47738226,98.89997745,110.9866059,125.9719859,131.3804084,137.8953461,145.9786152,137.9368365,160.1158901,183.7439768,173.556603,161.103576,146.5879638,110.3669334,109.0972205,127.677653,139.6213039,137.6680305,116.2676578,
47,Costa Rica,CRI,,,,,,,,,,,,,,,,,,,,,81.37254902,73.45132743,74.07407407,73.58490566,82,84,112.5,92.55319149,91.83673469,85.4368932,75,79.62962963,84.11214953,87.85046729,98.01980198,104.587156,99.08256881,105.6603774,108.9108911,107.1428571,100,100.0009977,99.97520849,99.95712135,99.9274061,99.88964573,99.85478283,99.81705301,99.77037632,99.84800231,99.84783856,99.8176767,99.81711662,99.80970158,99.83425679,99.90114876,99.93413182,99.90802204,99.87346975,100.4999937,101.2625258,
52,Cyprus,CYP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,101.4628282,102.4420489,102.5017758,103.3977229,101.5012574,102.695855,101.384661,106.1028874,96.90976621,98.07296304,96.55800006,93.7322302,92.23766941,92.37390884,92.45742353,90.40567968,90.53554651,93.23014972,90.71928448,82.10131693,
74,Germany,DEU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,99.65003352,101.2545415,101.8613259,100.1618296,97.23055535,95.02083136,94.98965578,93.00837311,98.45652571,95.9653959,93.15072087,92.55684593,94.49136722,97.0375377,99.77576049,102.0220819,100.2048582,99.07320695,100.1446381,101.8140016,
55,Djibouti,DJI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,100.6235636,100.4607214,103.0427867,100.8682987,102.299579,104.6464729,102.3728886,104.0336476,104.0224844,103.3245733,104.6120688,106.973412,108.0257946,108.2041274,106.2929373,103.432693,104.232915,104.437103,104.5978845,104.9539702,
54,Denmark,DNK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,101.0119812,101.0767403,100.4541924,97.55678666,99.35589245,99.28126078,100.6978712,101.1085269,99.44307894,100.115797,100.0856174,101.4430478,101.8835426,100.108923,100.8986677,100.6955853,100.3268698,99.76620824,103.6323907,104.4033458,
57,Dominican Republic,DOM,,,,,,,,,,,,,,,,,,,,,175.3623188,181.0810811,153.3333333,160,140.7407407,145.4545455,144.3037975,136.8421053,158.974359,150,96.03960396,104.3478261,93.5483871,88.46153846,94.33962264,98.14814815,96.33027523,100,101.010101,102.0618557,100,105.1361854,102.1776195,96.45982627,101.305444,98.09636361,101.2016039,104.5809628,98.20926319,104.2151246,102.1378435,100.2990038,100.9338577,98.52237738,98.874831,109.3756591,111.6583151,106.5096662,104.0643482,108.7559021,120.4683017,
58,Ecuador,ECU,,,,,,,,,,,,,,,,,,,,,212.987013,180.6818182,198.7179487,208.4507042,180,168.75,109.6385542,115.1162791,103.7974684,115,114.2857143,97.77777778,94.18604651,85.71428571,87.75510204,80.55555556,88.67924528,90.47619048,81,85.56701031,100,94.12380105,99.67028952,105.9261763,105.4234654,115.5833274,126.8445214,132.3550653,154.9373289,129.41509,148.7401242,167.2646926,166.7825749,168.3016819,158.7080219,118.9225335,112.604719,125.5181305,136.8705137,132.0548716,114.5720378,
59,"Egypt, Arab Rep.",EGY,,,,,,,,,,,,,,,,,,,,,214,220,200,200,190.5660377,188.4615385,163.2653061,117.2413793,96,94.80519481,101.2195122,125,125,123.4567901,120,116.2790698,111.1111111,107.1428571,98.01980198,96.875,100,95.50098028,93.11500592,97.12743628,106.1282909,123.8135722,136.3843189,131.5355955,148.6990374,136.6402372,140.5682855,149.0311464,152.4852865,151.8303479,150.3419811,145.974057,148.8491171,150.3748404,154.4178877,151.4423878,150.9286356,
180,Spain,ESP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,99.50372159,99.99141115,99.71091046,98.5118449,96.33129867,95.43324886,95.68236374,92.65663177,97.09331875,93.89343963,90.06163588,88.86614415,89.14745043,89.00709209,92.3405577,93.37665762,91.93506477,90.19441873,90.7318745,93.79971717,
