,Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
37,Switzerland,CHE,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,1.438794703,1.845397874,4.315992878,3.44021288,3.080556871,3.414478608,4.775979596,4.005196216,2.39582227,2.48903599,3.615986786,6.573221119,6.660007042,8.75467033,9.767414319,6.696595225,1.715476323,1.295999163,1.028792895,3.647640106,4.022500848,6.49030964,5.655101824,2.949794435,2.931456691,3.435399353,0.750309839,1.44032188,1.872468597,3.155269797,5.403959092,5.859596635,4.037030208,3.292621803,0.852116995,1.799827769,0.811634065,0.520225423,0.017938438,0.806444381,1.558529197,0.98902033,0.642711507,0.638272931,0.802908731,1.171954203,1.059509283,0.732350603,2.426041171,-0.480481936,0.688238707,0.231349208,-0.692552018,-0.217323155,-0.013202539,-1.143908672,-0.434618664,0.53378784,0.936335464,0.36288618,-0.725874933,0.581814168
39,Chile,CHL,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,,,,,,,,,,,,20.0522312,77.79574048,352.8109866,504.7385412,374.7352742,211.9243022,91.95413256,40.08722463,33.38921901,35.13834053,19.68683271,9.94102693,27.25719467,19.86020566,30.70349891,19.47683792,19.88084572,14.68435125,17.02793673,26.03648114,21.78441243,15.42580647,12.72776695,11.44311964,8.232630341,7.359117818,6.133864644,5.110249545,3.336879175,3.843272957,3.56910053,2.489398167,2.810178757,1.054738714,3.052576214,3.392017337,4.407799384,8.71626873,0.353045178,1.41071108,3.341216943,3.007448402,1.78955554,4.718675279,4.348773532,3.786193559,2.182718469,2.434889814,2.557544757,3.045490848,4.524568383
40,China,CHN,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.233835531,18.81181794,18.24563836,3.052290121,3.556685652,6.35398134,14.61007864,24.25698972,16.79122517,8.313160289,2.786465055,-0.773186012,-1.401472683,0.347811227,0.719125609,-0.731970902,1.127603487,3.824637431,1.776414077,1.649430995,4.816767674,5.92525137,-0.728165251,3.175324753,5.553898923,2.619524326,2.621050017,1.921641628,1.437023809,2.000001822,1.593136001,2.0747904,2.899234164,2.419421895,0.981015136
42,Cameroon,CMR,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,,,,,,,,,,-1.101591187,5.858085809,4.014029618,8.092918696,10.3847487,17.23293349,13.55332941,9.930650564,14.69830916,12.46305234,6.580610819,9.551754276,10.7275,13.25701986,16.63122641,11.37332209,8.508374344,7.770024987,13.14049984,1.682332608,-1.665525896,1.099381284,0.060051331,-0.016055046,-3.206554569,35.09446185,9.069690719,3.924063727,4.786238819,3.170751854,1.871745007,1.22719013,4.419772459,2.834422601,0.623163557,0.23364738,2.013539502,5.11757816,0.921402246,5.337806276,3.043618479,1.275380462,2.939699463,2.742534075,2.05908684,1.834130781,2.685982772,0.861740258,0.642673522,1.074299452,2.452802141,2.437608822,2.271857625
45,Colombia,COL,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,5.814076282,8.283190456,4.697093951,26.35543553,17.07243522,7.590683669,16.72816827,8.328191364,7.447538783,6.98166308,6.908622758,11.9402617,12.44445899,22.52964868,23.87095737,23.43750257,19.83122492,33.80281836,17.76315909,24.13407574,26.55265315,27.45376243,24.72098825,19.59731706,16.16161714,24.09017437,18.84246316,23.30202836,28.10839698,25.86754808,29.1520246,30.38782049,27.01062662,22.44248285,22.84624176,20.89179302,20.79757551,18.47002171,18.67697993,10.87368709,9.225348186,7.965560903,6.351507288,7.129788629,5.904020055,5.051019627,4.293423636,5.544384858,6.996884956,4.202516612,2.272002279,3.415033448,3.169301888,2.016992243,2.898837878,4.989831158,7.513460246,4.314313257,3.240569329,3.523019327,2.526635001,3.495057574
48,Costa Rica,CRI,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,0.790205818,2.43079391,2.677859687,2.931618471,3.32403316,-0.665000001,0.182882838,1.208340311,4.093891431,2.629340837,4.652297493,3.083048414,4.601125693,15.21403422,30.07362928,17.36920202,3.485833333,4.190240453,6.0071271,9.188410437,18.1351708,37.05634152,90.12133285,32.62370815,11.94742701,15.05741964,11.83506189,16.84242016,20.83253323,16.50980877,19.03975266,28.70929137,21.79116879,9.778600783,13.53446873,23.18649811,17.51145248,13.24804408,11.65929977,10.04528173,10.96154966,11.25561571,9.167520485,9.447580916,12.31481502,13.79829491,11.47059681,9.357244564,13.42446355,7.842701677,5.662757084,4.87799831,4.495453144,5.231336142,4.519200985,0.801982005,-0.017478851,1.62590693,2.221114615,2.096046353,0.724911478,1.726477551
53,Cyprus,CYP,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,0.827300931,-0.615384615,0.103199174,1.958762887,-0.303336705,0.202839757,0.506072874,0.704934543,3.766666666,2.38515901,2.40018825,4.144006128,4.832303619,7.808882341,16.17666667,4.63948584,3.854389722,7.326460481,7.436283299,9.463708295,13.51756058,10.74469361,6.432797267,5.049714241,5.99195111,5.034453664,1.21836926,2.791666667,3.429266315,3.765480483,4.502054629,5.035274388,6.510219531,4.854166667,4.698589311,2.61581788,2.978924865,3.605344444,2.227707327,1.63,4.141657647,1.973041917,2.801155052,4.139065387,2.286217068,2.560161323,2.30468733,2.372651837,4.669008419,0.326276652,2.430040841,3.289449396,2.3890541,-0.399357676,-1.354988854,-2.096997691,-1.429166667,0.531766496,1.435491195,0.250370997,-0.638422798,2.446088672
55,Germany,DEU,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,1.53661156,2.293675796,2.843280086,2.966960863,2.335728095,3.242329385,3.533058578,1.796045507,1.470304392,1.912663946,3.450241667,5.240974171,5.484936719,7.032025724,6.986432425,5.910328845,4.246634608,3.734168424,2.718690536,4.043622006,5.441056191,6.34424092,5.241047126,3.293414603,2.405795069,2.066230732,-0.129412805,0.24990616,1.274123972,2.780559807,2.696471378,4.047036816,5.056979322,4.474575055,2.693057381,1.706160524,1.449726473,1.939369425,0.911185301,0.585433144,1.440268187,1.983856936,1.420805605,1.034227766,1.665733409,1.546909652,1.577428259,2.298341797,2.628381749,0.31273763,1.103809161,2.075174525,2.008490922,1.50472098,0.906797949,0.51442054,0.491748625,1.509496558,1.732167661,1.445667015,0.50668989,3.142969673
56,Djibouti,DJI,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,,,,,,,,,,,,,,,,,,,,,12.05802357,5.717367854,-2.410714286,0.901842896,1.884715026,2.128902988,18.14763345,4.089116446,,,,,,,,,,,,,,1.74665225,0.637619554,1.981967346,3.122262047,3.104966401,3.483406997,4.965976546,11.95862069,1.675495873,3.950078759,5.068713948,3.731209508,2.706032429,1.341864943,-0.847389734,2.738412087,0.568112117,0.14797085,3.319253727,1.777407838,
58,Denmark,DNK,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,1.255230126,3.451628586,7.377819548,6.105032823,3.092783505,5.449999999,7.064959697,8.207853558,8.005207104,3.487919244,6.514841417,5.869869591,6.562360903,9.30338298,15.27520622,9.605612075,9.010290836,10.92223781,10.21365457,9.611050379,12.30532408,11.76738743,10.12082568,6.908228812,6.29077936,4.678751452,3.678184119,4.019993457,4.53513301,4.772723424,2.641603064,2.395153317,2.096044429,1.25785668,1.992014638,2.083608424,2.126298023,2.182166779,1.84565122,2.497795444,2.903282032,2.337870003,2.424436612,2.075078206,1.154356931,1.817814583,1.924221385,1.693265862,3.416267943,1.30470991,2.31092437,2.758682261,2.397914857,0.78907178,0.56402054,0.452034154,0.25,1.14713217,0.813609467,0.758131573,0.420711974,1.85304544
